 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        338416       39648896  [B (java.base@11.0.1)
   2:        288599        6926376  java.lang.String (java.base@11.0.1)
   3:         52907        5709688  [I (java.base@11.0.1)
   4:         64184        3594304  co.paralleluniverse.asm.SymbolTable$Entry
   5:         52018        2913008  co.paralleluniverse.asm.Label
   6:         70542        2257344  java.util.ArrayList$Itr (java.base@11.0.1)
   7:          6546        1466304  co.paralleluniverse.asm.MethodWriter
   8:         29518        1141528  [Ljava.lang.Object; (java.base@11.0.1)
   9:          6010         936984  [Lco.paralleluniverse.asm.Label;
  10:         14921         835576  jdk.internal.org.objectweb.asm.Item (java.base@11.0.1)
  11:         23792         761344  java.util.HashMap$Node (java.base@11.0.1)
  12:          6585         669984  [C (java.base@11.0.1)
  13:          9714         621696  java.nio.DirectByteBufferR (java.base@11.0.1)
  14:         12057         578736  co.paralleluniverse.asm.Frame
  15:         23989         575736  java.util.ArrayList (java.base@11.0.1)
  16:          8923         572248  [Ljava.lang.String; (java.base@11.0.1)
  17:         23494         563856  co.paralleluniverse.asm.ByteVector
  18:           525         526296  [Lco.paralleluniverse.asm.SymbolTable$Entry;
  19:          4342         521040  co.paralleluniverse.asm.tree.MethodNode
  20:         12508         500320  co.paralleluniverse.asm.tree.VarInsnNode
  21:          9018         497616  [J (java.base@11.0.1)
  22:         10827         433080  co.paralleluniverse.asm.tree.LabelNode
  23:          8518         408864  co.paralleluniverse.asm.tree.LineNumberNode
  24:          9317         372680  co.paralleluniverse.asm.tree.InsnNode
  25:          3068         367768  java.lang.Class (java.base@11.0.1)
  26:          5520         309120  co.paralleluniverse.asm.tree.MethodInsnNode
  27:           520         303680  [Ljdk.internal.org.objectweb.asm.Item; (java.base@11.0.1)
  28:          9224         295168  java.lang.invoke.LambdaForm$Name (java.base@11.0.1)
  29:         11784         282816  co.paralleluniverse.asm.Edge
  30:          1813         279728  [Ljava.util.HashMap$Node; (java.base@11.0.1)
  31:          2149         275072  co.paralleluniverse.asm.commons.JSRInlinerAdapter
  32:          8955         267608  [Ljava.lang.Class; (java.base@11.0.1)
  33:          7700         246400  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.1)
  34:             7         229488  [Ljava.util.concurrent.ForkJoinTask; (java.base@11.0.1)
  35:          5529         221160  java.lang.invoke.MethodType (java.base@11.0.1)
  36:          6491         207712  co.paralleluniverse.asm.tree.InsnList
  37:          6194         198208  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.1)
  38:          3894         186912  java.util.HashMap (java.base@11.0.1)
  39:          4661         186440  co.paralleluniverse.asm.tree.LocalVariableNode
  40:          1872         157200  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.1)
  41:          2182         157104  co.paralleluniverse.fibers.instrument.SuspOffsetsAfterInstrClassVisitor$1
  42:          6434         154416  java.lang.StringBuilder (java.base@11.0.1)
  43:          3006         144288  co.paralleluniverse.asm.tree.FieldInsnNode
  44:          3488         139520  java.util.TreeMap$Entry (java.base@11.0.1)
  45:          2160         138240  co.paralleluniverse.fibers.instrument.InstrumentClass$1
  46:          1341         118008  java.lang.reflect.Method (java.base@11.0.1)
  47:          4773         114552  java.util.ServiceLoader$3 (java.base@11.0.1)
  48:          2236         107328  java.lang.invoke.MemberName (java.base@11.0.1)
  49:          4300         103200  java.util.BitSet (java.base@11.0.1)
  50:          2572         102880  co.paralleluniverse.fibers.instrument.CheckInstrumentationVisitor$1
  51:          2422          96880  co.paralleluniverse.asm.tree.JumpInsnNode
  52:           398          89152  jdk.internal.org.objectweb.asm.MethodWriter (java.base@11.0.1)
  53:          1305          83520  co.paralleluniverse.asm.FieldWriter
  54:           929          80976  [Lco.paralleluniverse.asm.tree.analysis.Value;
  55:           124          73952  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.1)
  56:          1479          70992  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.1)
  57:          1260          70560  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.1)
  58:          2132          68224  co.paralleluniverse.fibers.instrument.LabelSuspendableCallSitesClassVisitor$1
  59:          1686          67440  java.util.LinkedHashMap$Entry (java.base@11.0.1)
  60:          1028          65792  java.net.URL (java.base@11.0.1)
  61:          3987          63792  java.lang.Integer (java.base@11.0.1)
  62:           645          61920  java.util.jar.JarFile$JarFileEntry (java.base@11.0.1)
  63:          1871          59872  co.paralleluniverse.asm.Type
  64:          2149          51576  co.paralleluniverse.fibers.instrument.InstrumentClass$1$1
  65:          1532          49024  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node (java.base@11.0.1)
  66:           273          48048  jdk.internal.org.objectweb.asm.ClassWriter (java.base@11.0.1)
  67:           544          47872  co.paralleluniverse.asm.Context
  68:           972          46656  co.paralleluniverse.asm.AnnotationWriter
  69:           725          46400  jdk.internal.org.objectweb.asm.Label (java.base@11.0.1)
  70:           668          45424  [Ljava.lang.ref.SoftReference; (java.base@11.0.1)
  71:          1107          44280  java.lang.ref.SoftReference (java.base@11.0.1)
  72:          1986          44264  [Lco.paralleluniverse.asm.Type;
  73:           885          42480  java.util.TreeMap (java.base@11.0.1)
  74:           747          41832  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@11.0.1)
  75:          1034          41360  co.paralleluniverse.asm.tree.TypeInsnNode
  76:          1691          40584  jdk.internal.org.objectweb.asm.ByteVector (java.base@11.0.1)
  77:          1261          40352  jdk.internal.org.objectweb.asm.Type (java.base@11.0.1)
  78:           248          33728  co.paralleluniverse.asm.ClassWriter
  79:           933          31928  [Z (java.base@11.0.1)
  80:           790          31600  co.paralleluniverse.asm.Handler
  81:           654          31392  jdk.internal.org.objectweb.asm.Frame (java.base@11.0.1)
  82:           771          30840  co.paralleluniverse.fibers.instrument.MethodDatabase$ClassEntry
  83:           369          30416  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.1)
  84:           929          29728  co.paralleluniverse.fibers.instrument.TypeAnalyzer$TypeFrame
  85:           598          28704  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.1)
  86:          1777          28432  java.lang.Object (java.base@11.0.1)
  87:           575          27600  java.lang.invoke.LambdaForm (java.base@11.0.1)
  88:           689          27560  co.paralleluniverse.asm.tree.IntInsnNode
  89:           801          25632  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.1)
  90:           313          25040  sun.net.www.protocol.jar.URLJarFile (java.base@11.0.1)
  91:          1010          24240  java.lang.invoke.ResolvedMethodName (java.base@11.0.1)
  92:           372          23808  co.paralleluniverse.asm.SymbolTable
  93:           739          23648  java.util.Locale (java.base@11.0.1)
  94:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.1)
  95:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.1)
  96:           419          23464  java.lang.invoke.MethodTypeForm (java.base@11.0.1)
  97:           571          22840  co.paralleluniverse.asm.tree.LdcInsnNode
  98:           459          22032  java.lang.invoke.ClassSpecializer$Factory$1Var (java.base@11.0.1)
  99:           905          21720  co.paralleluniverse.asm.tree.analysis.Subroutine
 100:           374          20944  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@11.0.1)
 101:           461          18440  java.util.WeakHashMap$Entry (java.base@11.0.1)
 102:           247          17784  java.lang.reflect.Field (java.base@11.0.1)
 103:          1110          17760  java.util.jar.JarFile$1 (java.base@11.0.1)
 104:           314          17584  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@11.0.1)
 105:           355          17040  java.util.WeakHashMap (java.base@11.0.1)
 106:           529          16928  java.io.File (java.base@11.0.1)
 107:           529          16928  java.lang.ref.WeakReference (java.base@11.0.1)
 108:           124          16864  co.paralleluniverse.fibers.instrument.DBClassWriter
 109:           421          16840  co.paralleluniverse.asm.ClassReader
 110:           421          16840  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.1)
 111:           121          15488  sun.nio.fs.UnixFileAttributes (java.base@11.0.1)
 112:           237          15168  java.lang.invoke.InvokerBytecodeGenerator (java.base@11.0.1)
 113:           314          15072  java.util.zip.ZipFile$ZipFileInputStream (java.base@11.0.1)
 114:           470          15040  java.util.TreeMap$KeyIterator (java.base@11.0.1)
 115:           467          14944  java.util.TreeMap$ValueIterator (java.base@11.0.1)
 116:           327          14744  [Ljdk.internal.org.objectweb.asm.Type; (java.base@11.0.1)
