time,totalRPC,localSuccess,localFailures,localSuccessRate,localBytesIn,localBytesOutpendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityDuration,avgCompoundDuration,avgCallbackDuration
25,0,0,0,1.0,0,0,0,0,0,2997,6,9588,114.42689862830377,0.6666666666666666,1.8294743429286608
1062,352,352,0,1.0,115668,115668,0,0,0,3120,42,10089,114.0329990294403,76.09677419354838,1.752007136485281
2064,839,487,0,1.0,149886,149886,0,0,0,3265,75,10767,113.43399693721287,184.52857142857144,1.6600724435775982
3069,1154,315,0,1.0,98681,98681,0,0,0,3362,103,11208,113.16706443914082,196.70526315789473,1.605728051391863
4070,1470,316,0,1.0,94918,94918,0,0,0,3448,129,11646,112.913030831879,212.609756097561,1.5551262235960845
5076,1800,330,0,1.0,99432,99432,0,0,0,3538,153,12105,112.64872521246458,220.98639455782313,1.5055762081784387
6077,2287,487,0,1.0,153221,153221,0,0,0,3689,196,12789,112.28166712067556,218.224043715847,1.444991789819376
7081,2586,299,0,1.0,86889,86889,0,0,0,3764,219,13197,112.08093716719915,231.95794392523365,1.4107751761764038
8092,2897,311,0,1.0,93547,93547,0,0,0,3847,248,13632,111.878188443519,229.7551867219917,1.3721390845070423
9098,3269,372,0,1.0,114418,114418,0,0,0,3957,280,14148,111.65111561866125,231.43065693430657,1.3293044953350297
10103,3643,374,0,1.0,117510,117510,0,0,0,4071,310,14676,111.41375061606703,229.08080808080808,1.2908830744071955
11105,4133,490,0,1.0,145520,145520,0,0,0,4201,346,15351,111.13306355629612,237.858407079646,1.2444791870236467
12107,4509,376,0,1.0,115541,115541,0,0,0,4310,378,15876,110.95025569502558,238.1054054054054,1.210506424792139
13109,4930,421,0,1.0,127413,127692,0,0,0,4427,410,16461,110.72840343735866,241.3424317617866,1.174047749225442
14111,5277,347,0,1.0,105317,105317,0,0,0,4524,436,16944,110.5629973474801,242.77156177156178,1.1464235127478755
15114,5643,366,0,1.0,110181,109902,0,0,0,4623,468,17454,110.41639627947221,242.11496746203903,1.1184255757992436
16117,6341,698,0,1.0,238688,238688,0,0,0,4888,532,18432,110.05278350515464,243.35225048923678,1.0740559895833333
17119,7267,926,0,1.0,322778,322778,0,0,0,5246,601,19728,109.52013808975835,255.6089965397924,1.0190085158150852
18122,8382,1115,0,1.0,399115,399115,0,0,0,5690,691,21300,109.0615548834727,266.7638036809816,0.9674647887323944
19125,9736,1354,0,1.0,470119,470119,0,0,0,6247,776,23202,108.48568655992237,284.5824324324324,0.9101370571502456
20126,11085,1349,0,1.0,467705,467705,0,0,0,6784,855,25098,107.9863359572256,300.64878048780486,0.8625388477169496
21129,12698,1613,0,1.0,555988,555988,0,1,0,7419,976,27363,107.58283460282917,305.79893048128343,0.8203047911413223
22134,13876,1178,0,1.0,406656,406656,0,0,0,7893,1037,29022,107.2940876656473,314.52225519287833,0.7840603679966922
23140,14821,945,0,1.0,325009,325009,0,0,0,8278,1088,30348,107.07554961739342,321.3966480446927,0.7612692763938316
24145,15676,855,0,1.0,325316,325316,0,0,0,8612,1155,31548,106.91200840238068,320.8113374667848,0.7412514263978699
25148,16838,1162,0,1.0,438050,438050,0,0,0,9095,1250,33192,106.70202859993348,321.3576763485477,0.7223427331887202
26149,18289,1451,0,1.0,497349,497905,0,0,0,9679,1336,35229,106.45935001557471,328.70552147239266,0.7009027422926247
