c5n.4xlarge; nodesPerNetwork: 100000; newPostsEveryHour: 500; feedRetrievalsEveryHour: 60
time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
110,0,0,0,1.0,0,0,16,9.33,0.4720989785383674,0.4700957265542722,2596758856,10812915712,3774873600,0,0,0,2411856,2146220,7535556,3.6578922E-4,0.9999623,0.9941025,0.9999623
1128,23,23,0,1.0,7606,7606,16,9.33,0.006840796019900498,0.005600497822028625,2591191912,10812915712,3774873600,0,0,0,2411864,2147903,7535589,0.052958086,0.97749877,0.1269056,0.97749877
2129,5,5,0,1.0,948,948,16,9.33,0.0050062578222778474,0.0031289111389236545,2588582864,10812915712,3774873600,0,1,0,2411864,2149581,7535595,0.0,0.97419506,0.001965354,0.97419506
3130,0,0,0,1.0,0,0,16,9.33,0.0037476577139287947,0.0037476577139287947,2586942408,10812915712,3774873600,0,0,0,2411864,2151254,7535595,0.0,0.97382045,0.0,0.97382045
4130,0,0,0,1.0,0,0,16,8.58,0.00375234521575985,0.0025,2585262680,10812915712,3774873600,0,0,0,2411864,2152951,7535595,0.0,0.97171926,0.0,0.97171926
5131,0,0,0,1.0,0,0,16,8.58,0.008125,0.0075046904315197,2583671104,10812915712,3774873600,0,0,0,2411864,2154640,7535595,0.0,0.9737086,0.0,0.9737086
6132,0,0,0,1.0,0,0,16,8.58,0.0031308703819661866,0.0012523481527864746,2582048720,10812915712,3774873600,0,0,0,2411864,2156363,7535595,0.0,0.9772652,0.0,0.9772652
7133,0,0,0,1.0,0,0,16,8.58,0.00375234521575985,0.001876172607879925,2580486728,10812915712,3774873600,0,0,0,2411864,2158016,7535595,0.0,0.9799387,0.0,0.9799387
8133,86,86,0,1.0,30003,30003,16,8.58,0.00688360450563204,0.0050062578222778474,2566459600,10812915712,3774873600,0,0,0,2411903,2159672,7535718,0.25999376,0.9750094,0.45933032,0.9750094
9134,44,44,0,1.0,15173,15173,16,7.9,0.005635566687539136,0.0037570444583594235,2558566544,10812915712,3774873600,0,0,0,2411922,2161400,7535778,0.0037292605,0.97393656,0.014523815,0.97393656
10134,0,0,0,1.0,0,0,16,7.9,0.004364089775561097,0.004987531172069825,2556919656,10812915712,3774873600,0,0,0,2411922,2163096,7535778,0.0,0.9730996,0.0,0.9730996
11141,0,0,0,1.0,0,0,16,7.9,0.004355942750466708,0.0031113876789047915,2554608888,10812915712,3774873600,0,0,0,2411922,2164745,7535778,0.0,0.97793025,0.0,0.97793025
12141,0,0,0,1.0,0,0,16,7.9,0.00625,0.00686641697877653,2553056560,10812915712,3774873600,0,0,0,2411922,2166356,7535778,0.0,0.9731003,0.0,0.9731003
13142,0,0,0,1.0,0,0,16,7.9,0.003121098626716604,0.0025,2551391968,10812915712,3774873600,0,0,0,2411922,2168068,7535778,0.0,0.9762475,0.0,0.9762475
14143,0,0,0,1.0,0,0,16,7.26,0.00375234521575985,0.001876172607879925,2549791544,10812915712,3774873600,0,0,0,2411922,2169708,7535778,0.0,0.9735225,0.0,0.9735225
15143,0,0,0,1.0,0,0,16,7.26,0.0031269543464665416,0.0025015634771732333,2548157160,10812915712,3774873600,0,0,0,2411922,2171398,7535778,0.0,0.97084236,0.0,0.97084236
16144,28,28,0,1.0,8554,8554,16,7.26,0.004377736085053158,0.0031269543464665416,2542391368,10812915712,3774873600,0,0,0,2411930,2173009,7535817,0.019447222,0.9704622,0.065772295,0.9704622
17145,33,33,0,1.0,12192,12192,16,7.26,0.00375234521575985,0.0025015634771732333,2534952376,10812915712,3774873600,0,0,0,2411947,2174633,7535865,0.159836,0.9820077,0.18958353,0.9820077
18145,118,118,0,1.0,43853,43853,16,7.26,0.008119925046845722,0.009357454772301934,2517831128,10812915712,3774873600,0,0,0,2412001,2176353,7536036,0.006501631,0.9609138,0.1615142,0.9609138
19146,0,0,0,1.0,0,0,16,6.68,0.0031289111389236545,6.265664160401002E-4,2516154696,10812915712,3774873600,0,0,0,2412001,2178022,7536036,0.0,0.9815056,0.0,0.9815056
20147,0,0,0,1.0,0,0,16,6.68,0.0037546933667083854,0.0012515644555694619,2514396192,10812915712,3774873600,0,0,0,2412001,2179772,7536036,0.0,0.975181,0.0,0.975181
21148,0,0,0,1.0,0,0,16,6.68,0.003745318352059925,0.003745318352059925,2512754712,10812915712,3774873600,0,0,0,2412001,2181439,7536036,0.0,0.9762668,0.0,0.9762668
22148,0,0,0,1.0,0,0,16,6.68,0.0031308703819661866,0.0012523481527864746,2511081056,10812915712,3774873600,0,0,0,2412001,2183119,7536036,0.0,0.97425854,0.0,0.97425854
23149,0,0,0,1.0,0,0,16,6.68,0.003125,0.0025,2509413392,10812915712,3774873600,0,0,0,2412001,2184778,7536036,0.0,0.98015183,0.0,0.98015183
24150,0,0,0,1.0,0,0,16,6.15,0.003745318352059925,0.003745318352059925,2507699896,10812915712,3774873600,0,0,0,2412001,2186493,7536036,0.0,0.9739535,0.0,0.9739535
25150,0,0,0,1.0,0,0,16,6.15,0.00375234521575985,0.0025015634771732333,2505962376,10812915712,3774873600,0,0,0,2412001,2188226,7536036,0.0,0.97584116,0.0,0.97584116
26151,38,38,0,1.0,12419,12419,16,6.15,0.004375,0.004375,2498337384,10812915712,3774873600,0,0,0,2412014,2189930,7536090,0.07868508,0.9707297,0.18166046,0.9707297
27152,18,18,0,1.0,4689,4689,16,6.15,0.004372267332916927,0.0037476577139287947,2494680064,10812915712,3774873600,0,0,0,2412017,2191625,7536114,5.2890537E-4,0.9710811,0.024785466,0.9710811
28152,0,0,0,1.0,0,0,16,6.15,0.0031308703819661866,6.261740763932373E-4,2492985272,10812915712,3774873600,0,0,0,2412017,2193229,7536114,0.0,0.972606,0.0,0.972606
29153,0,0,0,1.0,0,0,16,5.65,0.0031289111389236545,0.001876172607879925,2491284176,10812915712,3774873600,0,0,0,2412017,2194823,7536114,0.0,0.9683683,0.0,0.9683683
30154,28,28,0,1.0,8554,8554,16,5.65,0.004990642545227698,0.0056179775280898875,2486047928,10812915712,3774873600,0,0,0,2412025,2196469,7536153,0.02319115,0.97220457,0.094800435,0.97220457
31155,0,0,0,1.0,0,0,16,5.65,0.003125,0.0025,2484261752,10812915712,3774873600,0,0,0,2412025,2198111,7536153,0.0,0.97833526,0.0,0.97833526
32156,0,0,0,1.0,0,0,16,5.65,0.003117206982543641,0.004987531172069825,2482383176,10812915712,3774873600,0,0,0,2412025,2199828,7536153,0.0,0.97454447,0.0,0.97454447
33156,0,0,0,1.0,0,0,16,5.65,0.0037476577139287943,0.003123048094940662,2480609904,10812915712,3774873600,0,0,0,2412025,2201454,7536153,0.0,0.9739733,0.0,0.9739733
34157,0,0,0,1.0,0,0,16,5.2,0.0031269543464665416,0.0025015634771732333,2478801112,10812915712,3774873600,0,0,0,2412025,2203128,7536153,0.0,0.9681845,0.0,0.9681845
35157,0,0,0,1.0,0,0,16,5.2,0.003745318352059925,0.003745318352059925,2476943408,10812915712,3774873600,0,0,0,2412025,2204828,7536153,0.0,0.98055696,0.0,0.98055696
36158,0,0,0,1.0,0,0,16,5.2,0.0031269543464665416,0.0025015634771732333,2475113328,10812915712,3774873600,0,0,0,2412025,2206514,7536153,0.0,0.9759717,0.0,0.9759717
37159,0,0,0,1.0,0,0,16,5.2,0.0031191515907673115,0.004366812227074236,2473349952,10812915712,3774873600,0,0,0,2412025,2208130,7536153,0.0,0.9767571,0.0,0.9767571
38159,0,0,0,1.0,0,0,16,5.2,0.0031269543464665416,0.001876172607879925,2471600888,10812915712,3774873600,0,0,0,2412025,2209736,7536153,0.0,0.9759321,0.0,0.9759321
39160,0,0,0,1.0,0,0,16,4.78,0.0031289111389236545,0.001877346683354193,2469824792,10812915712,3774873600,0,0,0,2412025,2211360,7536153,0.0,0.97621334,0.0,0.97621334
40161,0,0,0,1.0,0,0,16,4.78,0.00375,0.0025,2468045504,10812915712,3774873600,0,0,0,2412025,2212968,7536153,0.0,0.97095895,0.0,0.97095895
41161,0,0,0,1.0,0,0,16,4.78,0.003123048094940662,0.003123048094940662,2466299224,10812915712,3774873600,0,0,0,2412025,2214590,7536153,0.0,0.9731785,0.0,0.9731785
42162,0,0,0,1.0,0,0,16,4.78,0.0031289111389236545,0.0012515644555694619,2464463960,10812915712,3774873600,0,0,0,2412025,2216280,7536153,0.0,0.980223,0.0,0.980223
43163,28,28,0,1.0,8554,8554,16,4.78,0.004380475594493116,0.0025031289111389237,2458693296,10812915712,3774873600,0,0,0,2412033,2217930,7536192,0.00788635,0.9698482,0.049426895,0.9698482
