time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
146,32,32,0,1.0,12528,12528,8,3.8,0.40563259988977146,0.4053862430191821,797360536,4055891968,2044723200,0,0,0,2846626,259,8838195,1.8403721E-4,0.96800405,0.89393264,0.96800405
2154,370,370,0,1.0,132958,132958,8,3.5,0.04782882315921964,0.04153555695405916,775030920,4055891968,2044723200,0,0,0,2846780,263,8838735,0.29744554,0.050449792,0.70299244,0.70299244
4154,410,410,0,1.0,121416,121416,8,3.5,0.07183010618363522,0.07183010618363522,767458096,4055891968,2044723200,0,0,0,2846884,279,8839299,0.5565491,0.02147724,0.7477496,0.7477496
6155,669,668,1,0.9985052316890882,219848,226213,8,3.3,0.09198998748435545,0.09136420525657071,623898264,4055891968,2044723200,0,0,0,2847107,307,8840244,0.56499904,0.27612677,0.74693435,0.74693435
8156,461,461,0,1.0,160491,160491,8,3.3,0.14984326018808777,0.14608150470219436,719632552,4055891968,2044723200,0,0,0,2847232,331,8840883,0.48764074,0.2236454,0.7073786,0.7073786
10156,502,502,0,1.0,152798,152798,8,3.3,0.04548286604361371,0.048598130841121495,705440616,4055891968,2044723200,0,0,0,2847370,361,8841579,0.7678036,0.24895515,0.7537613,0.7678036
12166,468,468,0,1.0,137169,137169,8,3.03,0.008695652173913044,0.010559006211180125,694558192,4055891968,2044723200,0,0,0,2847485,396,8842221,0.7148889,0.31230867,0.7435326,0.7435326
14878,105,105,0,1.0,28512,28512,8,3.03,0.2981079833871712,0.297185048454084,831796176,4055891968,2069889024,0,0,0,2847505,471,8842362,0.099232286,0.32032788,0.12819035,0.32032788
16878,3,0,3,0.0,0,0,8,2.79,6.25E-4,6.25E-4,828989400,4055891968,2069889024,0,0,0,2847505,505,8842362,0.0,0.47751182,0.0,0.47751182
18879,0,0,0,1.0,0,0,8,2.79,0.0,0.0,828872176,4055891968,2069889024,0,0,0,2847505,529,8842362,0.0,0.4771921,0.0,0.4771921
20879,0,0,0,1.0,0,0,8,2.56,0.0,6.246096189881324E-4,828127408,4055891968,2069889024,0,0,0,2847505,553,8842362,0.0,0.47688192,0.0,0.47688192
22880,0,0,0,1.0,0,0,8,2.56,6.25E-4,0.0,828081864,4055891968,2069889024,0,0,0,2847505,577,8842362,0.0,0.4765388,0.0,0.4765388
24881,0,0,0,1.0,0,0,8,2.56,0.0,0.0,827980920,4055891968,2069889024,0,0,0,2847505,601,8842362,0.0,0.4762074,0.0,0.4762074
26881,26,26,0,1.0,7861,7861,8,2.36,0.00125,0.00125,822789496,4055891968,2069889024,0,0,0,2847512,626,8842398,0.08650396,0.49850833,0.37268686,0.49850833
28882,0,0,0,1.0,0,0,8,2.36,6.246096189881324E-4,6.246096189881324E-4,822335264,4055891968,2069889024,0,0,0,2847512,650,8842398,0.0,0.47564375,0.0,0.47564375
30883,26,26,0,1.0,7861,7861,8,2.17,6.253908692933083E-4,0.0,820280680,4055891968,2069889024,0,0,0,2847519,675,8842434,0.0262809,0.48120064,0.113859236,0.48120064
32884,0,0,0,1.0,0,0,8,2.17,0.0,6.246096189881324E-4,820144112,4055891968,2069889024,0,0,0,2847519,699,8842434,0.0,0.47499853,0.0,0.47499853
34884,68,68,0,1.0,24304,24304,8,2.17,0.001877346683354193,0.0,816813488,4055891968,2069889024,0,0,0,2847547,730,8842533,0.121925056,0.60403585,0.33894134,0.60403585
36885,0,0,0,1.0,0,0,8,2.0,0.0,0.0,816691464,4055891968,2069889024,0,0,0,2847547,762,8842533,0.0,0.6001817,0.0,0.6001817
38885,0,0,0,1.0,0,0,8,2.0,6.25E-4,0.0,816335888,4055891968,2069889024,0,0,0,2847547,794,8842533,0.0,0.5999026,0.0,0.5999026
40886,0,0,0,1.0,0,0,8,1.84,0.0,0.0,815910352,4055891968,2069889024,0,0,0,2847547,826,8842533,0.0,0.5996389,0.0,0.5996389
42887,60,60,0,1.0,21172,21172,8,1.84,0.0012515644555694619,0.0,812329848,4055891968,2069889024,0,0,0,2847571,863,8842620,0.23488541,0.6828554,0.51373464,0.6828554
44887,26,26,0,1.0,7861,7861,8,1.84,0.40187500000000004,0.40187500000000004,832444784,4055891968,2070937600,0,0,0,2847578,905,8842656,0.04780712,0.489348,0.19532451,0.489348
46888,21,21,0,1.0,6295,6295,8,1.69,6.253908692933083E-4,0.0,825204672,4055891968,2070937600,0,0,0,2847583,946,8842686,0.09621642,0.6695743,0.4495913,0.6695743
48888,1,1,0,1.0,0,0,8,1.69,0.0025015634771732333,0.001876172607879925,824987424,4055891968,2070937600,0,0,0,2847583,986,8842686,0.0,0.6674172,0.0,0.6674172
50889,0,0,0,1.0,0,0,8,1.55,6.246096189881324E-4,6.246096189881324E-4,824758656,4055891968,2070937600,0,0,0,2847583,1026,8842686,0.0,0.66838616,0.0,0.66838616
52890,0,0,0,1.0,0,0,8,1.55,6.253908692933083E-4,0.0,824088416,4055891968,2070937600,0,0,0,2847583,1066,8842686,0.0,0.6680222,0.0,0.6680222
54890,0,0,0,1.0,0,0,8,1.55,6.246096189881324E-4,6.246096189881324E-4,823771016,4055891968,2070937600,0,0,0,2847583,1106,8842686,0.0,0.6676925,0.0,0.6676925
56891,30,30,0,1.0,9427,9427,8,1.43,0.0050031269543464665,0.0050031269543464665,820992032,4055891968,2070937600,0,0,0,2847592,1147,8842728,0.12955438,0.6777148,0.43376097,0.6777148
58892,45,45,0,1.0,13373,13373,8,1.43,0.0012507817385866166,0.0,819846112,4055891968,2070937600,0,0,0,2847603,1189,8842791,0.16476637,0.69174606,0.5657765,0.69174606
60892,72,72,0,1.0,26177,26177,8,1.31,0.00125,6.25E-4,816275080,4055891968,2070937600,0,0,0,2847634,1234,8842896,0.30161715,0.7422468,0.6087165,0.7422468
62893,3,3,0,1.0,476,476,8,1.31,0.0,0.0,815689960,4055891968,2070937600,0,0,0,2847634,1282,8842899,0.0,0.71423036,3.38983E-4,0.71423036
64894,26,26,0,1.0,10231,10231,8,1.31,0.0012507817385866166,0.0,812638496,4055891968,2070937600,0,0,0,2847648,1331,8842938,0.21901804,0.7354827,0.5274235,0.7354827
66894,337,337,0,1.0,152844,152844,8,1.21,0.017434620174346202,0.021793275217932753,793198256,4055891968,2070937600,0,0,0,2847808,1389,8843433,0.16057254,0.6363022,0.7239943,0.7239943
68895,335,335,0,1.0,129200,129200,8,1.21,0.011912225705329153,0.00877742946708464,774105960,4055891968,2070937600,0,0,0,2847965,1439,8843925,0.11268385,0.6277617,0.7251835,0.7251835
70895,0,0,0,1.0,0,0,8,1.11,6.25E-4,0.0,773431736,4055891968,2070937600,0,0,0,2847965,1487,8843925,0.0,0.7152535,0.0,0.7152535
72896,62,62,0,1.0,21955,21955,8,1.11,6.257822277847309E-4,0.0,769266184,4055891968,2070937600,0,0,0,2847990,1543,8844015,0.069346264,0.73639196,0.21713017,0.73639196
74897,0,0,0,1.0,0,0,8,1.11,0.3989993746091307,0.3971232020012508,832008856,4055891968,2070937600,0,0,0,2847990,1600,8844015,0.0,0.56690335,0.0,0.56690335
76897,0,0,0,1.0,0,0,8,1.02,0.0,0.0,829886152,4055891968,2070937600,0,0,0,2847990,1656,8844015,0.0,0.7498796,0.0,0.7498796
78898,28,28,0,1.0,8644,8644,8,1.02,6.25E-4,6.25E-4,824482432,4055891968,2070937600,0,0,0,2847998,1713,8844054,0.10383659,0.74871576,0.3427985,0.74871576
80898,0,0,0,1.0,0,0,8,0.94,0.0,0.0,824062608,4055891968,2070937600,0,0,0,2847998,1769,8844054,0.0,0.7493358,0.0,0.7493358
82899,0,0,0,1.0,0,0,8,0.94,6.25E-4,0.0,823585240,4055891968,2070937600,0,0,0,2847998,1825,8844054,0.0,0.7488943,0.0,0.7488943
84900,26,26,0,1.0,7861,7861,8,0.94,6.253908692933083E-4,0.0,821444184,4055891968,2070937600,0,0,0,2848005,1882,8844090,0.024752004,0.73797786,0.112519346,0.73797786
86901,16,16,0,1.0,6264,6264,8,0.86,6.253908692933083E-4,0.0,819930792,4055891968,2070937600,0,0,0,2848013,1940,8844114,0.19999994,0.7844347,0.3934771,0.7844347
88901,52,52,0,1.0,18040,18040,8,0.86,0.00125,0.00125,817445744,4055891968,2070937600,0,0,0,2848033,2004,8844189,0.017293891,0.76118714,0.10007029,0.76118714
90902,0,0,0,1.0,0,0,8,0.79,6.246096189881324E-4,6.246096189881324E-4,816667184,4055891968,2070937600,0,0,0,2848033,2068,8844189,0.0,0.77509546,0.0,0.77509546
92903,0,0,0,1.0,0,0,8,0.79,0.0,0.0,816351688,4055891968,2070937600,0,0,0,2848033,2132,8844189,0.0,0.7747382,0.0,0.7747382
94903,30,30,0,1.0,9427,9427,8,0.79,0.005632040050062579,0.004380475594493116,814537760,4055891968,2070937600,0,0,0,2848042,2197,8844231,0.001202161,0.76243013,0.051696908,0.76243013
96904,0,0,0,1.0,0,0,8,0.73,6.25E-4,0.0,814021192,4055891968,2070937600,0,0,0,2848042,2261,8844231,0.0,0.7742032,0.0,0.7742032
98904,0,0,0,1.0,0,0,8,0.73,6.253908692933083E-4,0.0,813826072,4055891968,2070937600,0,0,0,2848042,2325,8844231,0.0,0.77394354,0.0,0.77394354
100905,0,0,0,1.0,0,0,8,0.67,0.0,0.0,813301400,4055891968,2070937600,0,0,0,2848042,2389,8844231,0.0,0.7736844,0.0,0.7736844
