time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
121,43,43,0,1.0,14602,18323,16,3.91,0.19700659595011527,0.20496773865237586,917047136,32212254720,2302672896,0,0,0,3024319,272,10508881,1.18519805E-4,0.96832955,0.54408383,0.96832955
2127,633,633,0,1.0,177824,310239,16,4.64,0.2014343623323979,0.20268163392578734,885604120,32212254720,2302672896,0,0,0,3024439,273,10510026,0.05983993,0.2059861,0.33705035,0.33705035
4128,611,611,0,1.0,155519,277036,16,4.64,0.01592754528419738,0.016244923461418308,835272472,32212254720,2302672896,0,0,0,3024518,294,10511079,0.14018019,0.11808853,0.330745,0.330745
6129,474,474,0,1.0,103159,263596,16,4.27,0.002499218994064355,0.0028116213683223993,786992232,32212254720,2302672896,0,0,0,3024518,302,10512027,0.0,0.14337759,0.3344085,0.3344085
8129,501,501,0,1.0,108984,278261,16,4.27,0.0028133791809940604,0.002188183807439825,732481536,32212254720,2302672896,0,0,0,3024518,310,10513029,0.0,0.14328994,0.33018932,0.33018932
10130,513,513,0,1.0,120427,272008,16,4.27,0.012492192379762648,0.013429106808244846,677920744,32212254720,2302672896,0,0,0,3024546,327,10514018,0.033024017,0.29813236,0.33359882,0.33359882
12136,344,344,0,1.0,74823,191672,16,3.93,0.0024898848428260194,0.003112356053532524,643325552,32212254720,2302672896,0,0,0,3024546,343,10514706,0.0,0.2913198,0.3353204,0.3353204
14136,356,356,0,1.0,77521,197925,16,3.93,0.0028116213683223993,0.003124023742580444,604585752,32212254720,2302672896,0,0,0,3024546,359,10515418,0.0,0.2901479,0.32636696,0.32636696
16137,456,456,0,1.0,99149,253605,16,3.61,0.0053141606752110035,0.005001562988433886,552157680,32212254720,2302672896,0,0,0,3024546,375,10516330,0.0,0.28997093,0.3330111,0.3330111
18137,361,361,0,1.0,78745,200959,16,3.61,0.0018703241895261845,0.004362729822374571,514384120,32212254720,2302672896,0,0,0,3024546,391,10517052,0.0,0.28979817,0.33088377,0.33088377
20138,412,412,0,1.0,91713,217970,16,3.61,0.0025031289111389237,6.259780907668231E-4,471342864,32212254720,2302672896,0,0,0,3024546,407,10517876,0.0,0.28961048,0.32846275,0.32846275
22139,344,344,0,1.0,75157,191268,16,3.32,0.0015634771732332708,9.380863039399625E-4,431572560,32212254720,2302672896,0,0,0,3024546,423,10518564,0.0,0.28939363,0.33301803,0.33301803
24139,370,370,0,1.0,80808,205919,16,3.32,0.03150343106674984,0.03275109170305677,391676896,32212254720,2302672896,0,0,0,3024546,439,10519304,0.0,0.28919291,0.33658218,0.33658218
26140,364,364,0,1.0,79574,202331,16,3.06,0.001562011871290222,0.0021868166198063107,350782512,32212254720,2302672896,0,0,0,3024546,455,10520032,0.0,0.28901657,0.33351886,0.33351886
28140,307,307,0,1.0,67135,170623,16,3.06,0.0018732438339057135,0.002497658445207618,318269792,32212254720,2302672896,0,0,0,3024546,471,10520646,0.0,0.28883964,0.33173415,0.33173415
30440,298,299,0,1.0,66220,166566,16,3.06,0.1735110144139244,0.17323905357628502,933017144,32212254720,2306867200,0,0,1,3024546,487,10521243,0.0,0.2506153,0.26960936,0.26960936
32441,415,414,0,1.0,89562,230652,16,2.81,0.002184769038701623,0.003121098626716604,893152072,32212254720,2306867200,0,0,0,3024546,508,10522072,0.0,0.35272568,0.33239123,0.35272568
34441,363,363,0,1.0,79341,202318,16,2.81,0.002190237797246558,3.1289111389236547E-4,851256584,32212254720,2306867200,0,0,0,3024546,524,10522798,0.0,0.35249248,0.33454207,0.35249248
36442,482,481,1,0.9979253112033195,135617,240951,16,2.59,0.01467832604622111,0.015302935665209244,795658440,32212254720,2306867200,0,0,0,3024637,546,10523671,0.14939842,0.55988336,0.33683375,0.55988336
38443,459,459,0,1.0,132071,217456,16,2.59,0.0037488284910965324,0.004061230865354577,753747616,32212254720,2306867200,0,0,0,3024734,563,10524477,0.07689341,0.3702069,0.33663544,0.3702069
40443,311,311,0,1.0,71040,170065,16,2.59,0.00280811232449298,0.00436817472698908,717046624,32212254720,2306867200,0,0,0,3024742,579,10525088,0.07500055,0.35195935,0.33051586,0.35195935
42444,349,349,0,1.0,76210,194401,16,2.38,0.006570713391739674,0.0050062578222778474,679297888,32212254720,2306867200,0,0,0,3024742,595,10525786,0.075,0.3517611,0.32981864,0.3517611
44444,345,345,0,1.0,75589,190670,16,2.38,0.002816020025031289,0.0015644555694618273,639366688,32212254720,2306867200,0,0,0,3024742,611,10526476,0.075,0.35156542,0.3329552,0.35156542
46445,274,271,3,0.9890510948905109,59207,150776,16,2.19,0.009357454772301934,0.01091703056768559,611108936,32212254720,2306867200,0,0,0,3024742,627,10527018,0.0,0.35139385,0.33410153,0.35139385
48445,304,304,0,1.0,66399,169360,16,2.19,0.0015629884338855893,0.0012503907471084713,577530144,32212254720,2306867200,0,0,0,3024742,643,10527626,0.0,0.35121825,0.33571514,0.35121825
50446,331,331,0,1.0,72364,184372,16,2.19,0.006242197253433208,0.00717852684144819,542947392,32212254720,2306867200,0,0,0,3024742,659,10528288,0.0,0.3510451,0.33336374,0.3510451
52447,317,317,0,1.0,69275,176409,16,2.01,0.001876759461995621,6.255864873318737E-4,506244088,32212254720,2306867200,0,0,0,3024742,675,10528922,0.0,0.35082862,0.33444038,0.35082862
54447,382,382,0,1.0,83711,212430,16,2.01,0.0015620118712902217,0.0021868166198063107,464349560,32212254720,2306867200,0,0,0,3024742,691,10529686,0.0,0.3506239,0.32563487,0.3506239
56448,306,306,0,1.0,66646,173445,16,1.93,0.0018720748829953197,0.0031201248049922,432777472,32212254720,2306867200,0,0,0,3024742,707,10530298,0.0,0.3504611,0.3314659,0.3504611
58448,387,387,0,1.0,84437,215215,16,1.93,0.0018732438339057135,0.0028098657508585697,389857840,32212254720,2306867200,0,0,0,3024742,723,10531072,0.0,0.35029173,0.32714894,0.35029173
60449,410,410,0,1.0,99764,213352,16,1.93,0.19912472647702406,0.19849953110346982,932332912,32212254720,2306867200,0,0,0,3024774,749,10531851,0.059251484,0.4642096,0.33893427,0.4642096
62450,313,313,0,1.0,68363,174397,16,1.78,0.0015600624024961,0.0031201248049922,895541848,32212254720,2306867200,0,0,0,3024774,773,10532477,0.0,0.51717514,0.32842836,0.51717514
64450,300,300,0,1.0,65507,167072,16,1.78,0.025937500000000002,0.02561699468915964,862052920,32212254720,2306867200,0,0,0,3024774,797,10533077,0.0,0.5168765,0.33069313,0.5168765
66451,380,380,0,1.0,83017,211690,16,1.63,0.004688965301656768,0.0050031269543464665,822060752,32212254720,2306867200,0,0,0,3024774,821,10533837,0.0,0.51661366,0.33265555,0.51661366
68451,386,386,0,1.0,84344,214872,16,1.63,0.0021854511395566654,0.0028098657508585697,775932952,32212254720,2306867200,0,0,0,3024774,845,10534609,0.0,0.51635617,0.33047095,0.51635617
70452,379,379,0,1.0,82798,210830,16,1.63,0.0018773466833541927,6.257822277847309E-4,734048832,32212254720,2306867200,0,0,0,3024774,869,10535367,0.0,0.5161176,0.33231893,0.5161176
72452,354,354,0,1.0,87700,184561,16,1.5,0.0018738288569643971,0.0021861336664584638,696173968,32212254720,2306867200,0,0,0,3024806,896,10536040,0.23540042,0.61659825,0.330541,0.61659825
74453,277,277,0,1.0,60345,151763,16,1.5,0.00125,0.0018744142455482662,666926416,32212254720,2306867200,0,0,0,3024806,928,10536588,0.0,0.6171303,0.33391416,0.6171303
76453,295,295,0,1.0,64444,164256,16,1.38,0.0012492192379762648,0.0018744142455482662,636645432,32212254720,2306867200,0,0,0,3024806,960,10537178,0.0,0.6253046,0.333012,0.6253046
78454,355,355,0,1.0,77556,197435,16,1.38,0.002190237797246558,3.1289111389236547E-4,594702392,32212254720,2306867200,0,0,0,3024806,992,10537888,0.0,0.6250796,0.33338645,0.6250796
80454,418,418,0,1.0,100568,219055,16,1.38,0.002803738317757009,0.005919003115264798,551587928,32212254720,2306867200,0,0,0,3024834,1029,10538689,0.18682896,0.73008156,0.3326064,0.73008156
82455,370,370,0,1.0,89555,191600,16,1.27,0.0018779342723004694,3.1298904538341156E-4,514992216,32212254720,2306867200,0,0,0,3024862,1078,10539390,0.020798517,0.7301953,0.32071492,0.7301953
84455,285,285,0,1.0,62351,157988,16,1.27,0.0012503907471084713,0.00125,483476584,32212254720,2306867200,0,0,0,3024862,1126,10539960,0.0,0.7463495,0.3300657,0.7463495
86456,433,433,0,1.0,94734,240252,16,1.17,0.002495321272613849,0.0037441497659906394,435318840,32212254720,2306867200,0,0,0,3024862,1174,10540826,0.0,0.7461272,0.3370468,0.7461272
88456,383,383,0,1.0,83849,211820,16,1.17,0.0018773466833541927,0.0012515644555694619,396425656,32212254720,2306867200,0,0,0,3024862,1222,10541592,0.0,0.7459099,0.3324979,0.7459099
90457,325,325,0,1.0,71045,180993,16,1.17,0.19719188767550702,0.1984399375975039,930551880,32212254720,2306867200,0,0,0,3024862,1271,10542242,0.0,0.6991303,0.3384215,0.6991303
92457,343,343,0,1.0,84102,179789,16,1.08,0.0015586034912718205,0.004052369077306733,896745560,32212254720,2306867200,0,0,0,3024890,1323,10542897,0.23494948,0.80546933,0.3347134,0.80546933
94458,378,378,0,1.0,85614,200829,16,1.08,0.003757044458359424,0.001878522229179712,854043592,32212254720,2306867200,0,0,0,3024900,1380,10543630,0.14515023,0.77650565,0.33346987,0.77650565
96458,529,528,1,0.998109640831758,168824,251352,16,0.99,0.00845599749451926,0.005637331663012841,789902440,32212254720,2306867200,0,0,0,3025037,1442,10544546,0.058574554,0.8617034,0.3387518,0.8617034
98459,538,538,0,1.0,169668,242660,16,0.99,0.0024968789013732834,0.003745318352059925,740778312,32212254720,2306867200,0,0,0,3025190,1503,10545454,0.0026009427,0.76129913,0.33971715,0.76129913
100459,526,526,0,1.0,158538,242649,16,0.99,0.0025015634771732333,0.002188868042526579,691359240,32212254720,2306867200,0,0,0,3025322,1565,10546356,0.010803617,0.6875856,0.33950752,0.6875856
102460,491,491,0,1.0,143428,230567,16,0.91,0.0025023459493274947,0.0012511729746637473,648547232,32212254720,2306867200,0,0,0,3025434,1626,10547211,0.002415564,0.7288152,0.3366168,0.7288152
104460,604,604,0,1.0,185003,276723,16,0.91,0.0025,0.0028125,592794208,32212254720,2306867200,0,0,0,3025594,1685,10548244,0.009703648,0.69610846,0.33556837,0.69610846
106461,498,498,0,1.0,131626,249407,16,0.84,0.0037476577139287943,0.004059962523422861,545700112,32212254720,2306867200,0,0,0,3025662,1741,10549163,4.9313844E-6,0.7382035,0.33057085,0.7382035
