time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
120,55,55,0,1.0,17089,24872,16,3.79,0.19525055645770897,0.20448407892908405,890183280,32212254720,2218786816,0,0,0,2972675,269,9104864,9.4037794E-5,0.9704038,0.6943865,0.9704038
2127,563,563,0,1.0,171120,244473,16,3.79,0.009375000000000001,0.009375000000000001,851303448,32212254720,2218786816,0,0,0,2972829,274,9105788,0.25062674,0.0038139212,0.5038787,0.5038787
4128,343,343,0,1.0,77632,172332,16,3.49,0.009684473601999375,0.00937207122774133,826572440,32212254720,2218786816,0,0,0,2972844,290,9106417,0.0023285323,0.13624507,0.49788085,0.49788085
6129,294,294,0,1.0,64212,163384,16,3.49,0.0037476577139287943,0.004372267332916927,800008248,32212254720,2218786816,0,0,0,2972844,298,9107005,0.0,0.14156951,0.4956449,0.4956449
8129,331,331,0,1.0,72343,184007,16,3.21,0.0034385745545482964,0.0031259768677711786,767100888,32212254720,2218786816,0,0,0,2972844,306,9107667,0.0,0.14147031,0.50212824,0.50212824
10130,330,330,0,1.0,72123,183414,16,3.21,0.0018750000000000001,0.0015625,735755064,32212254720,2218786816,0,0,0,2972844,314,9108327,0.0,0.14137185,0.5043371,0.5043371
12136,262,262,0,1.0,57263,145585,16,3.21,0.0018674136321195146,0.0028011204481792717,710581752,32212254720,2218786816,0,0,0,2972844,322,9108851,0.0,0.14086086,0.49780425,0.49780425
14137,309,309,0,1.0,67540,171990,16,2.95,0.0012496094970321774,0.0018738288569643971,679827432,32212254720,2218786816,0,0,0,2972844,330,9109469,0.0,0.14023244,0.50232565,0.50232565
16138,304,304,0,1.0,66450,169284,16,2.95,0.0015644555694618273,0.0,649808248,32212254720,2218786816,0,0,0,2972844,338,9110077,0.0,0.14012747,0.49035892,0.49035892
18138,316,316,0,1.0,68991,175629,16,2.71,0.004990642545227698,0.006238303181534623,617591304,32212254720,2218786816,0,0,0,2972844,347,9110709,0.0,0.180018,0.49814367,0.49814367
20139,285,285,0,1.0,62255,159168,16,2.71,0.00187207488299532,0.0034321372854914196,590298984,32212254720,2218786816,0,0,0,2972844,355,9111279,0.0,0.1799033,0.5063473,0.5063473
22140,287,287,0,1.0,62691,158775,16,2.71,0.0037488284910965324,0.0037488284910965324,565133160,32212254720,2218786816,0,0,0,2972844,363,9111853,0.0,0.17978688,0.50241506,0.50241506
24140,247,247,0,1.0,53947,137626,16,2.5,0.00125,0.0012496094970321774,537891168,32212254720,2218786816,0,0,0,2972844,371,9112347,0.0,0.17967717,0.49846122,0.49846122
26141,366,366,0,1.0,88709,190910,16,2.5,0.19924929621520174,0.19831091648420393,881923376,32212254720,2218786816,0,0,0,2972872,385,9113042,0.22965534,0.3213261,0.49905354,0.49905354
28142,291,291,0,1.0,63612,161551,16,2.3,0.0018726591760299624,0.0024976584452076176,853933872,32212254720,2218786816,0,0,0,2972872,401,9113624,0.0,0.320561,0.4966691,0.4966691
30142,231,231,0,1.0,50450,128433,16,2.3,0.0015625,0.0015625,831626344,32212254720,2218786816,0,0,0,2972872,417,9114086,0.0,0.32037994,0.48226392,0.48226392
