time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
127,32,32,0,1.0,12256,12231,16,1.86,0.18972885761573277,0.189668325314427,887622096,32212254720,2239758336,0,0,0,3038861,278,9226243,0.0011948283,0.9698648,0.85088205,0.9698648
2134,288,288,0,1.0,107785,106168,16,1.86,0.007516442217350454,0.005010961478233636,871302672,32212254720,2239758336,0,0,0,3038997,278,9226658,0.14363329,0.2,0.59318465,0.59318465
4135,258,258,0,1.0,68599,106568,16,1.71,0.01874414245548266,0.01874414245548266,851426136,32212254720,2239758336,0,0,0,3039044,299,9227062,0.02219722,0.14753778,0.60495806,0.60495806
6135,148,148,0,1.0,32304,88551,16,1.71,9.348706762231225E-4,0.003427859146151449,836670104,32212254720,2239758336,0,0,0,3039044,307,9227358,0.0,0.15024841,0.5505638,0.5505638
8136,156,156,0,1.0,34125,86133,16,1.71,0.0012503907471084713,9.377930603313535E-4,820959680,32212254720,2239758336,0,0,0,3039044,315,9227670,0.0,0.15015046,0.5522734,0.5522734
10137,170,170,0,1.0,37042,95118,16,1.57,0.19806007509386733,0.1964956195244055,896477248,32212254720,2243952640,0,0,0,3039044,324,9228010,0.0,0.17616284,0.5921614,0.5921614
12143,165,165,0,1.0,35922,92112,16,1.57,0.0012476606363069245,3.118178983473651E-4,877620744,32212254720,2243952640,0,0,0,3039044,332,9228340,0.0,0.14954568,0.59309536,0.59309536
14143,175,175,0,1.0,38078,97748,16,1.45,9.363295880149813E-4,0.0018732438339057135,859735960,32212254720,2243952640,0,0,0,3039044,340,9228690,0.0,0.14897181,0.54921085,0.54921085
16144,199,199,0,1.0,43499,109849,16,1.45,0.00125,9.375E-4,840374256,32212254720,2243952640,0,0,0,3039044,348,9229088,0.0,0.14886813,0.57507074,0.57507074
18145,209,209,0,1.0,54799,105365,16,1.45,9.375E-4,9.372071227741331E-4,820974184,32212254720,2243952640,0,0,0,3039072,360,9229473,0.25143152,0.2853302,0.5983864,0.5983864
20145,157,157,0,1.0,35172,81606,16,1.33,0.006868560724320949,0.007805182641273806,806398744,32212254720,2243952640,0,0,0,3039077,377,9229769,0.065954715,0.2958712,0.5813094,0.5813094
22146,274,274,0,1.0,71301,137858,16,1.33,0.0018732438339057133,0.0021861336664584638,783228992,32212254720,2243952640,0,0,0,3039113,403,9230272,0.013115925,0.4490647,0.584652,0.584652
24147,219,219,0,1.0,47718,122102,16,1.22,0.0012507817385866166,3.1269543464665416E-4,763828056,32212254720,2243952640,0,0,0,3039113,427,9230710,0.0,0.44747552,0.5869723,0.5869723
26147,225,225,0,1.0,59773,113135,16,1.22,0.0012496094970321774,0.0018738288569643971,743824472,32212254720,2243952640,0,0,0,3039145,455,9231124,0.249404,0.58610255,0.6207684,0.6207684
28148,143,143,0,1.0,31101,84876,16,1.22,0.0053125,0.004688965301656768,730302632,32212254720,2243952640,0,0,0,3039145,487,9231405,0.0,0.5762372,0.53936297,0.5762372
30148,220,220,0,1.0,57719,111329,16,1.13,0.0025007814942169426,0.002188183807439825,710249120,32212254720,2243952640,0,0,0,3039177,523,9231812,0.22348857,0.6766246,0.56587154,0.6766246
32149,205,205,0,1.0,45211,117337,16,1.13,0.004375,0.00375,688870056,32212254720,2243952640,0,0,0,3039177,563,9232214,0.0,0.6421562,0.58940876,0.6421562
34150,192,192,0,1.0,41960,106490,16,1.04,0.0012496094970321774,0.0012496094970321774,670437944,32212254720,2243952640,0,0,0,3039177,603,9232598,0.0,0.65747577,0.58505106,0.65747577
36150,165,165,0,1.0,36111,91520,16,1.04,9.366219169528567E-4,0.0018732438339057135,652674472,32212254720,2243952640,0,0,0,3039177,643,9232928,0.0,0.6571807,0.56203544,0.6571807
38151,142,142,0,1.0,31286,77573,16,1.04,6.246096189881324E-4,0.0012492192379762648,640624704,32212254720,2243952640,0,0,0,3039177,683,9233212,0.0,0.6568694,0.581959,0.6568694
40152,176,176,0,1.0,38555,96952,16,0.95,0.20106316447779862,0.20012507817385866,913934352,32212254720,2264924160,0,0,0,3039177,724,9233564,0.0,0.5571971,0.58680046,0.58680046
42152,231,231,0,1.0,60919,112945,16,0.95,0.0012496094970321774,0.001562011871290222,894462616,32212254720,2264924160,0,0,0,3039209,774,9233985,0.02138311,0.7030981,0.55191964,0.7030981
44153,236,236,0,1.0,51530,138899,16,0.88,0.004686035613870666,0.0043736332396126214,868867144,32212254720,2264924160,0,0,0,3039209,822,9234457,0.0,0.71882707,0.55568546,0.71882707
46153,203,203,0,1.0,49595,107656,16,0.88,0.0015629884338855893,0.0012503907471084713,846542312,32212254720,2264924160,0,0,0,3039226,871,9234848,0.32855675,0.7276938,0.6066355,0.7276938
48154,279,279,0,1.0,71436,150124,16,0.88,0.0015620118712902217,0.0018744142455482662,816401912,32212254720,2264924160,0,0,0,3039262,924,9235368,0.33883747,0.781409,0.61379826,0.781409
50154,192,192,0,1.0,41758,105641,16,0.81,0.0012496094970321774,0.0012496094970321774,793834016,32212254720,2264924160,0,0,0,3039262,980,9235749,0.15,0.75588155,0.59793246,0.75588155
52155,221,220,1,0.995475113122172,52759,118752,16,0.81,0.0012507817385866166,3.1269543464665416E-4,774458872,32212254720,2264924160,0,0,0,3039279,1036,9236175,0.20749328,0.758323,0.61151135,0.758323
54156,189,189,0,1.0,41308,112221,16,0.74,0.0024960998439937598,0.004056162246489859,752398648,32212254720,2264924160,0,0,0,3039279,1092,9236553,0.225,0.7580256,0.57493144,0.7580256
56156,209,205,4,0.9808612440191388,52988,104516,16,0.74,0.0012503907471084713,6.251953735542357E-4,734356664,32212254720,2264924160,0,0,0,3039305,1151,9236939,0.44890118,0.80534357,0.6255694,0.80534357
58157,173,169,4,0.976878612716763,39128,88555,16,0.74,9.375E-4,9.375E-4,718257392,32212254720,2264924160,0,0,0,3039313,1215,9237260,0.07500079,0.78223026,0.538931,0.78223026
60157,201,201,0,1.0,45569,110144,16,0.68,9.377930603313535E-4,6.251953735542357E-4,697802184,32212254720,2264924160,0,0,0,3039318,1281,9237657,0.2,0.823153,0.5957235,0.823153
62158,208,205,3,0.9855769230769231,53541,101315,16,0.68,0.0159375,0.015625,679417944,32212254720,2264924160,0,0,0,3039345,1353,9238031,0.0077192076,0.79276884,0.53535014,0.79276884
64159,132,132,0,1.0,28774,73855,16,0.63,9.354536950420954E-4,0.0028063610851262865,666368680,32212254720,2264924160,0,0,0,3039345,1425,9238295,0.0,0.8140536,0.55046105,0.8140536
66159,165,165,0,1.0,36066,99427,16,0.63,9.366219169528567E-4,0.0018732438339057133,649047768,32212254720,2264924160,0,0,0,3039345,1497,9238625,0.0,0.8137803,0.56445676,0.8137803
68160,240,240,0,1.0,52555,131934,16,0.63,0.0021861336664584633,0.0024984384759525295,627653944,32212254720,2264924160,0,0,0,3039345,1569,9239105,0.0,0.81351906,0.5771439,0.81351906
70160,227,227,0,1.0,49713,125112,16,0.58,0.19731501717140182,0.19818976279650438,918235896,32212254720,2273312768,0,0,0,3039345,1642,9239559,0.0,0.80297935,0.59264034,0.80297935
72161,161,161,0,1.0,35086,90128,16,0.58,9.357454772301934E-4,0.0024960998439937598,901427568,32212254720,2273312768,0,0,0,3039345,1714,9239881,0.0,0.81294143,0.5381417,0.81294143
