time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
116,35,35,0,1.0,13204,13771,16,4.39,0.18589769358806235,0.185901004933839,915687752,32212254720,2264924160,0,0,0,3106091,282,9279671,9.290229E-5,0.97132975,0.80276567,0.97132975
2123,321,321,0,1.0,121461,111282,16,4.39,0.014673743365594754,0.014985950671245706,899703424,32212254720,2264924160,0,0,0,3106248,285,9280112,0.25898376,0.084367536,0.5580659,0.5580659
4123,247,247,0,1.0,120430,105109,16,4.39,0.0150093808630394,0.01438398999374609,878225568,32212254720,2264924160,0,0,0,3106321,309,9280488,0.24425046,0.35721135,0.54529494,0.54529494
6124,252,252,0,1.0,82472,113813,16,4.04,0.0024968789013732834,0.0034332084893882644,850276088,32212254720,2264924160,0,0,0,3106401,317,9280912,0.10149946,0.34386095,0.53912413,0.53912413
8124,195,195,0,1.0,69284,79414,16,4.04,0.0015610365282547611,0.0028089887640449437,834127432,32212254720,2264924160,0,0,0,3106481,328,9281213,0.101441,0.26271644,0.54508656,0.54508656
10125,197,197,0,1.0,70613,80678,16,3.71,0.001562011871290222,0.00125,820737200,32212254720,2264924160,0,0,0,3106561,338,9281521,0.10138898,0.33876446,0.5279675,0.5279675
12132,194,194,0,1.0,65837,82410,16,3.71,0.0012468827930174563,9.348706762231224E-4,808081224,32212254720,2264924160,0,0,0,3106631,349,9281831,0.114104554,0.2707531,0.5287191,0.5287191
14133,205,201,4,0.9804878048780488,72670,81660,16,3.71,0.0018709073900841909,0.003742981908920774,793390768,32212254720,2264924160,0,0,0,3106716,359,9282142,0.027955363,0.32742628,0.54244566,0.54244566
16133,278,278,0,1.0,101102,109736,16,3.42,0.0015634771732332708,6.253908692933083E-4,771913168,32212254720,2264924160,0,0,0,3106837,372,9282562,0.027861621,0.2433846,0.55442786,0.55442786
18134,305,305,0,1.0,113197,119104,16,3.42,0.00125,0.00125,752099072,32212254720,2264924160,0,0,0,3106976,385,9283018,0.027798314,0.21976864,0.5391401,0.5391401
20597,257,257,0,1.0,101414,97694,16,3.14,0.1601216113503927,0.1618951102102863,922378880,32212254720,2264924160,0,0,4,3107107,400,9283390,0.07722667,0.27731535,0.5085163,0.5085163
