time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
128,45,45,0,1.0,14876,19320,16,3.48,0.1941341792428583,0.19420841890440432,868061448,32212254720,2160066560,0,0,0,2905157,260,8825094,1.2289782E-4,0.9687234,0.38374916,0.9687234
2136,487,487,0,1.0,157474,204126,16,3.48,0.010605115408608859,0.012476606363069246,831863104,32212254720,2160066560,0,0,0,2905316,262,8825872,0.27931762,0.12070088,0.112565,0.27931762
4137,318,318,0,1.0,96932,129998,16,3.2,0.004690431519699813,0.00375234521575985,814068640,32212254720,2160066560,0,0,0,2905406,282,8826365,0.060557768,0.14713444,0.10873419,0.14713444
6137,157,157,0,1.0,34223,87665,16,3.2,0.0012496094970321774,0.0012496094970321774,803687296,32212254720,2160066560,0,0,0,2905406,290,8826679,0.0,0.17079185,0.11153379,0.17079185
8138,164,164,0,1.0,35733,91639,16,2.95,6.246096189881324E-4,0.0012492192379762648,791094824,32212254720,2160066560,0,0,0,2905406,298,8827007,0.0,0.17067666,0.111478366,0.17067666
10139,232,232,0,1.0,50571,129528,16,2.95,0.0015620118712902217,0.0015620118712902217,774372368,32212254720,2160066560,0,0,0,2905406,306,8827471,0.0,0.17056279,0.11130947,0.17056279
12145,248,248,0,1.0,58271,133655,16,2.95,0.0018703241895261847,0.0012468827930174563,755413544,32212254720,2160066560,0,0,0,2905419,316,8827954,0.21869305,0.20996813,0.113553956,0.21869305
14146,247,247,0,1.0,66531,118195,16,2.71,0.001561524047470331,0.0018738288569643971,740808024,32212254720,2160066560,0,0,0,2905459,341,8828390,0.08565759,0.5053852,0.11024531,0.5053852
16146,188,188,0,1.0,51096,90773,16,2.71,9.380863039399625E-4,6.253908692933083E-4,728231560,32212254720,2160066560,0,0,0,2905491,371,8828725,0.16301566,0.6392687,0.10960713,0.6392687
18147,158,158,0,1.0,34424,88164,16,2.49,0.0015610365282547611,0.0018732438339057135,715642184,32212254720,2160066560,0,0,0,2905491,403,8829041,0.0,0.6273213,0.109539405,0.6273213
20148,182,182,0,1.0,39671,101691,16,2.49,0.20525657071339176,0.20400500625782228,874645272,32212254720,2168455168,0,0,0,2905491,436,8829405,0.0,0.58338505,0.109990455,0.58338505
22149,229,229,0,1.0,49916,127656,16,2.49,0.0015610365282547611,0.002185451139556666,857920256,32212254720,2168455168,0,0,0,2905491,468,8829863,0.0,0.62650526,0.11091199,0.62650526
24150,152,152,0,1.0,33126,84892,16,2.29,0.0012503907471084713,6.251953735542357E-4,845354984,32212254720,2168455168,0,0,0,2905491,500,8830167,0.0,0.6261321,0.111274384,0.6261321
26150,198,198,0,1.0,43167,110430,16,2.29,0.002188868042526579,0.0015634771732332708,830696328,32212254720,2168455168,0,0,0,2905491,532,8830563,0.0,0.6258071,0.11077776,0.6258071
28151,175,175,0,1.0,38178,97680,16,2.11,9.375E-4,9.375E-4,818071056,32212254720,2168455168,0,0,0,2905491,564,8830913,0.0,0.62548774,0.110730276,0.62548774
30151,253,253,0,1.0,55154,141240,16,2.11,0.0021868166198063107,0.0021868166198063107,801288936,32212254720,2168455168,0,0,0,2905491,596,8831419,0.0,0.6251653,0.11193887,0.6251653
32152,160,160,0,1.0,34892,89467,16,2.11,0.0034364261168384883,0.003124023742580444,784546728,32212254720,2168455168,0,0,0,2905491,628,8831739,0.0,0.62478966,0.11205543,0.62478966
34153,409,408,1,0.9975550122249389,131023,183228,16,1.94,0.011878712097530478,0.011878712097530478,755170912,32212254720,2168455168,0,0,0,2905618,666,8832427,0.16611463,0.7624231,0.111686036,0.7624231
36154,411,411,0,1.0,131024,178228,16,1.94,0.003440725680325305,0.0025023459493274947,732032088,32212254720,2168455168,0,0,0,2905742,701,8833101,0.0056885555,0.5660515,0.110704824,0.5660515
38154,309,309,0,1.0,81415,152553,16,1.78,0.0053075241960661886,0.005931938807368093,709008160,32212254720,2168455168,0,0,0,2905786,741,8833661,0.32468495,0.6859756,0.11148879,0.6859756
40155,189,189,0,1.0,40942,104477,16,1.78,0.0015625,0.0015625,694255840,32212254720,2168455168,0,0,0,2905786,781,8834035,0.0,0.68149275,0.10926077,0.68149275
42156,185,185,0,1.0,40317,103282,16,1.78,0.0031259768677711786,0.0028125,679692120,32212254720,2168455168,0,0,0,2905786,821,8834405,0.0,0.6866737,0.11232923,0.6866737
44156,226,226,0,1.0,54541,117404,16,1.64,0.024039962535123322,0.0249843847595253,648157328,32212254720,2168455168,0,0,0,2905803,864,8834831,0.20301783,0.7302145,0.11347627,0.7302145
46157,234,234,0,1.0,58299,119853,16,1.64,0.0018773466833541927,6.255864873318737E-4,631459672,32212254720,2168455168,0,0,0,2905826,912,8835267,0.00993087,0.7216115,0.11220784,0.7216115
48157,242,242,0,1.0,56270,129097,16,1.59,0.02372034956304619,0.024664377146425227,574845624,32212254720,2168455168,0,0,0,2905837,961,8835733,0.1624383,0.7413222,0.10936412,0.7413222
50158,148,148,0,1.0,32053,82108,16,1.59,0.1957473420888055,0.19480925578486555,882557072,32212254720,2176843776,0,0,0,2905837,1011,8836027,0.0,0.75053924,0.110957034,0.75053924
52159,153,153,0,1.0,33351,85293,16,1.59,9.377930603313535E-4,3.1259768677711783E-4,872053448,32212254720,2176843776,0,0,0,2905837,1059,8836333,0.0,0.7606445,0.11215441,0.7606445
54159,237,237,0,1.0,54956,125555,16,1.54,0.026258205689277902,0.026258205689277902,855270568,32212254720,2176843776,0,0,0,2905848,1108,8836787,0.049672548,0.74876744,0.11332433,0.74876744
56160,186,186,0,1.0,40577,103783,16,1.54,0.0012484394506866417,0.002184769038701623,840614032,32212254720,2176843776,0,0,0,2905848,1156,8837159,0.0,0.76004535,0.11375921,0.76004535
58160,214,214,0,1.0,46644,119568,16,1.42,0.00125,0.00125,825922864,32212254720,2176843776,0,0,0,2905848,1204,8837587,0.0,0.7597524,0.11040216,0.7597524
60161,246,246,0,1.0,70081,113446,16,1.42,0.002188868042526579,0.0012507817385866166,809118024,32212254720,2176843776,0,0,0,2905900,1261,8838009,0.14055353,0.7678262,0.11219501,0.7678262
62162,165,165,0,1.0,35969,92108,16,1.42,0.001248829222603809,0.0018732438339057133,794467432,32212254720,2176843776,0,0,0,2905900,1317,8838339,0.0,0.792746,0.112696074,0.792746
64162,168,168,0,1.0,36584,93736,16,1.3,9.383797309978105E-4,0.0,783989416,32212254720,2176843776,0,0,0,2905900,1373,8838675,0.0,0.79241645,0.11226854,0.79241645
66163,259,259,0,1.0,56432,144394,16,1.3,0.001560549313358302,0.0024968789013732834,763009352,32212254720,2176843776,0,0,0,2905900,1429,8839193,0.0,0.7921094,0.11276099,0.7921094
68164,146,146,0,1.0,31850,81494,16,1.2,9.375E-4,9.375E-4,752429048,32212254720,2176843776,0,0,0,2905900,1485,8839485,0.0,0.79181904,0.1116652,0.79181904
70164,161,161,0,1.0,35082,89838,16,1.2,0.002188183807439825,0.001875586120662707,742041232,32212254720,2176843776,0,0,0,2905900,1541,8839807,0.0,0.7915328,0.11396898,0.7915328
72165,180,180,0,1.0,39251,100507,16,1.2,9.369144284821986E-4,0.0012492192379762648,727338016,32212254720,2176843776,0,0,0,2905900,1597,8840167,0.0,0.7911582,0.112777,0.7911582
74166,176,176,0,1.0,38390,98263,16,1.1,9.383797309978105E-4,0.0,714762016,32212254720,2176843776,0,0,0,2905900,1653,8840519,0.0,0.79083127,0.11167496,0.79083127
76166,147,147,0,1.0,32023,82146,16,1.1,9.369144284821986E-4,0.001561524047470331,702158352,32212254720,2176843776,0,0,0,2905900,1709,8840813,0.0,0.7905578,0.11216477,0.7905578
78167,130,130,0,1.0,28305,72674,16,1.02,9.369144284821986E-4,0.0012492192379762648,691718056,32212254720,2176843776,0,0,0,2905900,1765,8841073,0.0,0.7902917,0.112569325,0.7902917
80167,159,159,0,1.0,34694,88791,16,1.02,0.19160926737633063,0.1897307451471509,880016192,32212254720,2176843776,0,0,0,2905900,1822,8841391,0.0,0.7801642,0.111740194,0.7801642
82168,186,186,0,1.0,40524,103940,16,1.02,0.0012507817385866166,3.1269543464665416E-4,869465040,32212254720,2176843776,0,0,0,2905900,1878,8841763,0.0,0.78963625,0.11088944,0.78963625
84169,208,208,0,1.0,45350,116305,16,0.93,0.0012503907471084713,6.251953735542357E-4,852700656,32212254720,2176843776,0,0,0,2905900,1934,8842179,0.0,0.7893176,0.112256445,0.7893176
86169,287,287,0,1.0,71419,147338,16,0.93,0.0015629884338855893,0.0012503907471084713,829676536,32212254720,2176843776,0,0,0,2905928,1997,8842716,0.15401761,0.8117076,0.11142833,0.8117076
88170,158,158,0,1.0,34455,88089,16,0.86,0.001562988433885589,9.377930603313535E-4,817099584,32212254720,2176843776,0,0,0,2905928,2061,8843032,0.0,0.8185473,0.111832045,0.8185473
90170,181,181,0,1.0,39457,101018,16,0.86,9.372071227741331E-4,0.0012496094970321774,804509616,32212254720,2176843776,0,0,0,2905928,2125,8843394,0.0,0.81825995,0.1043099,0.81825995
92171,204,204,0,1.0,44476,113709,16,0.86,0.0012496094970321774,0.0012496094970321774,787741504,32212254720,2176843776,0,0,0,2905928,2189,8843802,0.0,0.81788826,0.112373725,0.81788826
94172,528,527,1,0.9981060606060606,167631,235845,16,0.87,0.021269940569283705,0.020331560838285894,754087736,32212254720,2176843776,0,0,0,2906086,2263,8844686,0.15176876,0.79643005,0.113550514,0.79643005
96172,377,377,0,1.0,118243,166956,16,0.87,0.002188183807439825,0.002188183807439825,728982704,32212254720,2176843776,0,0,0,2906191,2329,8845313,0.051853925,0.7135681,0.10918945,0.7135681
98173,153,153,0,1.0,33370,85469,16,0.8,9.380863039399625E-4,0.0,712244032,32212254720,2176843776,0,0,0,2906191,2393,8845619,0.0,0.8170223,0.113657326,0.8170223
100173,193,193,0,1.0,42074,107606,16,0.8,0.00437636761487965,0.003751172241325414,703819248,32212254720,2176843776,0,0,0,2906191,2457,8846005,0.0,0.8167477,0.11203666,0.8167477
102174,204,204,0,1.0,44464,113962,16,0.8,9.377930603313535E-4,6.251953735542357E-4,687059736,32212254720,2176843776,0,0,0,2906191,2521,8846413,0.0,0.81642205,0.11244051,0.81642205
