time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
3560,1432,1432,0,1.0,462205,462205,2,10.66,0.45948360663134996,0.4993908327091249,158905696,973078528,384827392,0,0,0,253398,23613,790712,0.017710641,0.9975823,0.9927906,0.9975823
4601,469,468,1,0.997867803837953,134473,134473,2,10.66,0.13930348258706468,0.13432835820895522,74225848,973078528,384827392,0,0,0,253513,23786,791354,0.4649101,0.73653233,0.73229045,0.73653233
5602,464,464,0,1.0,135456,135456,2,10.66,0.09950248756218905,0.0945273631840796,179194872,973078528,384827392,0,0,0,253633,23972,791993,0.51444703,0.7348899,0.73311037,0.7348899
6603,454,454,0,1.0,131059,131059,2,10.66,0.08415841584158416,0.09405940594059406,124950648,973078528,384827392,0,0,0,253746,24159,792617,0.47775882,0.7675224,0.77530193,0.77530193
7604,462,462,0,1.0,134402,134680,2,10.05,0.16161616161616163,0.16161616161616163,73551296,973078528,384827392,0,0,0,253864,24348,793253,0.49656233,0.73554355,0.77791226,0.77791226
8604,456,456,0,1.0,131531,131253,2,10.05,0.1319796954314721,0.1116751269035533,231462368,973078528,384827392,0,0,0,253977,24517,793880,0.46547258,0.7269444,0.75760233,0.75760233
9605,440,440,0,1.0,126591,126591,2,10.05,0.11616161616161616,0.11557788944723618,193031264,973078528,384827392,0,0,0,254086,24685,794483,0.49255273,0.72854227,0.7622264,0.7622264
10606,458,458,0,1.0,131928,132475,2,10.05,0.04020100502512563,0.030303030303030304,162660824,973078528,384827392,0,0,0,254199,24862,795115,0.47862366,0.7062896,0.7445791,0.7445791
11607,447,447,0,1.0,129427,128880,2,10.05,0.035175879396984924,0.02512562814070352,139299296,973078528,384827392,0,0,0,254311,25038,795728,0.47419152,0.71617436,0.7667759,0.7667759
12608,477,477,0,1.0,138579,138579,2,9.25,0.06965174129353234,0.07960199004975124,75190120,973078528,384827392,0,0,0,254432,25201,796385,0.40596387,0.69700444,0.82280916,0.82280916
13608,452,452,0,1.0,130878,130878,2,9.25,0.065,0.060000000000000005,254676440,973078528,384827392,0,0,0,254546,25386,797006,0.39719552,0.76196223,0.799179,0.799179
14616,458,458,0,1.0,131712,131712,2,9.25,0.05025125628140704,0.04522613065326633,195617488,973078528,384827392,0,0,0,254658,25572,797636,0.4599514,0.74598646,0.80607784,0.80607784
15617,439,439,0,1.0,126009,126009,2,9.25,0.135,0.13,170078912,973078528,384827392,0,0,0,254765,25753,798239,0.43384326,0.7315866,0.7544909,0.7544909
16618,469,469,0,1.0,136400,136400,2,9.25,0.045454545454545456,0.0404040404040404,101912400,973078528,384827392,0,0,0,254885,25934,798884,0.4330876,0.75043774,0.7776689,0.7776689
17619,460,460,0,1.0,133057,133057,2,8.58,0.060000000000000005,0.060000000000000005,76147224,973078528,384827392,0,0,0,255000,26137,799517,0.47746137,0.75413543,0.7796093,0.7796093
18620,448,448,0,1.0,129061,129061,2,8.58,0.04020100502512563,0.035175879396984924,45626504,973078528,384827392,0,0,0,255111,26304,800132,0.44404083,0.7576327,0.79228437,0.79228437
19620,466,466,0,1.0,135055,135055,2,8.58,0.05025125628140704,0.04522613065326633,203044096,973078528,384827392,0,0,0,255228,26482,800774,0.41146395,0.73376745,0.8156543,0.8156543
20621,465,465,0,1.0,136219,136219,2,8.58,0.04,0.04,158731288,973078528,384827392,0,0,0,255349,26679,801416,0.39682105,0.7481256,0.82074106,0.82074106
21622,443,443,0,1.0,126481,126481,2,8.58,0.030000000000000002,0.034999999999999996,134734064,973078528,384827392,0,0,0,255456,26865,802022,0.41644442,0.73722035,0.7734624,0.7734624
22623,460,460,0,1.0,133057,133057,2,7.9,0.03980099502487562,0.03980099502487562,103316096,973078528,384827392,0,0,0,255571,27049,802655,0.41818908,0.72051823,0.799115,0.799115
23623,459,459,0,1.0,133458,133736,2,7.9,0.03535353535353535,0.030303030303030304,71257672,973078528,384827392,0,0,1,255689,27257,803286,0.46179822,0.72063947,0.8165252,0.8165252
24624,461,461,0,1.0,133238,132960,2,7.9,0.13366336633663367,0.13861386138613863,244262768,973078528,384827392,0,0,0,255803,27441,803921,0.46723628,0.7270695,0.8100692,0.8100692
25625,466,466,0,1.0,135928,135928,2,7.9,0.049999999999999996,0.055,179383136,973078528,384827392,0,0,0,255923,27625,804563,0.50683653,0.7275016,0.76227057,0.76227057
26626,458,458,0,1.0,132294,132294,2,7.9,0.045000000000000005,0.045000000000000005,144231992,973078528,384827392,0,0,0,256037,27806,805193,0.48065048,0.7276122,0.7948426,0.7948426
27626,453,453,0,1.0,131641,131641,2,7.26,0.03482587064676617,0.03980099502487562,117674160,973078528,384827392,0,0,0,256152,28004,805817,0.4479631,0.73687667,0.7581051,0.7581051
