time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
47,32,32,0,1.0,12368,12368,2,11.91,0.3253843399074003,0.35234568848642983,284731744,973078528,413138944,0,0,0,255328,22999,795969,0.0074656787,0.9981767,0.9887799,0.9981767
1067,323,323,0,1.0,124154,124154,2,10.95,0.22167487684729065,0.23645320197044337,263811648,973078528,413138944,0,0,0,255488,23171,796452,0.006564072,0.85865045,0.80730414,0.85865045
2068,429,429,0,1.0,145484,145484,2,10.95,0.29292929292929293,0.27272727272727276,66090488,973078528,413138944,0,0,0,255648,23333,797070,0.004410143,0.7697254,0.8298332,0.8298332
3069,425,425,0,1.0,126093,126093,2,10.95,0.37,0.375,165504176,973078528,413138944,0,0,0,255759,23497,797658,0.32183748,0.7352588,0.6988365,0.7352588
4069,473,473,0,1.0,138738,138738,2,10.95,0.09950248756218905,0.1044776119402985,275509128,973078528,413138944,0,0,0,255879,23710,798309,0.42266533,0.7613092,0.7546322,0.7613092
5070,434,434,0,1.0,126319,126319,2,10.95,0.05527638190954774,0.05025125628140704,235483856,973078528,413138944,0,0,0,255986,23890,798906,0.39546365,0.72210795,0.7109,0.72210795
6071,493,493,0,1.0,146169,146169,2,10.08,0.07537688442211056,0.07035175879396985,171629280,973078528,413138944,0,0,0,256115,24078,799587,0.4563127,0.7430702,0.81219107,0.81219107
7072,332,332,0,1.0,92628,92628,2,10.08,0.16417910447761194,0.1691542288557214,260592608,973078528,413138944,0,0,0,256187,24252,800037,0.19498174,0.7194401,0.5787007,0.7194401
8072,9,9,0,1.0,1422,1422,2,10.08,0.005,0.005,259813216,973078528,413138944,0,0,0,256187,24412,800046,0.0,0.7875992,0.002730673,0.7875992
9073,0,0,0,1.0,0,0,2,10.08,0.004975124378109453,0.014925373134328358,259172320,973078528,413138944,0,0,0,256187,24582,800046,0.0,0.81151944,0.0,0.81151944
10074,0,0,0,1.0,0,0,2,10.08,0.01,0.01,258570192,973078528,413138944,0,0,0,256187,24756,800046,0.0,0.8011186,0.0,0.8011186
11083,0,0,0,1.0,0,0,2,9.27,0.009950248756218905,0.004975124378109453,257845256,973078528,413138944,0,0,0,256187,24890,800046,0.0,0.75975263,0.0,0.75975263
12084,0,0,0,1.0,0,0,2,9.27,0.005,0.005,257236656,973078528,413138944,0,0,0,256187,25059,800046,0.0,0.8093015,0.0,0.8093015
