time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
353506,157051,157040,11,0.9999299590578856,45914806,45917596,2,2.02,0.4019452966199932,0.42595418201031954,100564208,973078528,408944640,0,0,0,294898,89668,1012226,0.5105378,0.9142837,0.9958581,0.9958581
354598,415,415,0,1.0,120733,120020,2,2.02,0.9852941176470589,0.9803921568627452,97741520,973078528,408944640,0,0,0,294994,89853,1012796,0.22889026,0.73924685,0.66149235,0.73924685
355599,412,412,0,1.0,123198,123198,2,2.02,0.96,0.96,99198656,973078528,408944640,0,0,0,295108,90027,1013360,0.15576524,0.7029926,0.70266414,0.7029926
356600,387,387,0,1.0,112777,112777,2,2.02,0.9849246231155779,0.9798994974874372,64006912,973078528,408944640,0,0,0,295203,90207,1013894,0.3668724,0.66971046,0.65494186,0.66971046
357601,418,418,0,1.0,121032,121032,2,2.02,0.751269035532995,0.7360406091370558,80176728,973078528,408944640,0,0,0,295305,90396,1014467,0.43785244,0.7129177,0.7460822,0.7460822
358602,444,444,0,1.0,129287,129287,2,2.02,0.4221105527638191,0.4120603015075377,70071056,973078528,408944640,0,0,0,295414,90576,1015079,0.40237013,0.74075073,0.7809247,0.7809247
359603,395,395,0,1.0,113426,113643,2,2.02,0.9444444444444444,0.9343434343434343,87669120,973078528,408944640,0,0,0,295509,90757,1015619,0.36968726,0.706636,0.68272305,0.706636
360604,414,414,0,1.0,122352,122352,2,2.02,0.945273631840796,0.9502487562189055,63640768,973078528,408944640,0,0,0,295617,90925,1016189,0.37534958,0.68146205,0.648606,0.68146205
361604,400,400,0,1.0,116343,116343,2,2.02,0.9748743718592965,0.9748743718592965,50453600,973078528,408944640,0,0,0,295716,91104,1016738,0.41155073,0.7020292,0.66493833,0.7020292
362605,397,396,1,0.9974811083123426,114972,114972,2,2.02,0.9898477157360406,0.9695431472081218,65560672,973078528,408944640,0,0,0,295812,91308,1017284,0.34154832,0.75522,0.6988841,0.75522
363606,411,411,0,1.0,120208,120208,2,2.02,0.95,0.9450000000000001,94274648,973078528,408944640,0,0,0,295916,91504,1017848,0.40992135,0.7685688,0.64856255,0.7685688
364630,454,454,0,1.0,132678,132957,2,2.02,0.295,0.28,72639656,973078528,408944640,0,0,0,296030,91687,1018472,0.3794136,0.73315984,0.7569772,0.7569772
365630,451,451,0,1.0,131307,131028,2,1.94,0.5346534653465347,0.5445544554455446,84536720,973078528,408944640,0,0,0,296141,91879,1019093,0.42195514,0.75676286,0.7632781,0.7632781
366631,448,448,0,1.0,130658,130658,2,1.94,0.2081218274111675,0.19289340101522842,73330728,973078528,408944640,0,0,0,296253,92064,1019708,0.39347577,0.7211452,0.812373,0.812373
367632,461,461,0,1.0,134399,134399,2,1.94,0.4444444444444445,0.43434343434343436,78016528,973078528,408944640,0,0,0,296368,92266,1020341,0.40988222,0.7133774,0.794462,0.794462
368633,446,446,0,1.0,129586,129586,2,1.94,0.28500000000000003,0.28500000000000003,66082480,973078528,408944640,0,0,0,296478,92447,1020953,0.39876893,0.6900425,0.7917299,0.7917299
369634,437,436,1,0.9977116704805492,126195,126474,2,1.94,0.2777777777777778,0.2676767676767677,91897656,973078528,408944640,0,0,0,296583,92642,1021553,0.3991708,0.7385279,0.72084904,0.7385279
370635,468,468,0,1.0,137316,137037,2,1.78,0.17258883248730963,0.16243654822335027,77133176,973078528,408944640,0,0,0,296703,92832,1022195,0.44639242,0.7399353,0.7930143,0.7930143
371635,462,462,0,1.0,135471,135471,2,1.78,0.3959390862944162,0.38578680203045684,51062624,973078528,408944640,0,0,0,296820,92993,1022831,0.41925362,0.68816596,0.80929023,0.80929023
372636,419,419,0,1.0,122578,122795,2,1.78,0.592964824120603,0.5879396984924623,81449312,973078528,408944640,0,0,0,296925,93174,1023410,0.3785464,0.71397233,0.71024793,0.71397233
373637,435,435,0,1.0,129484,129484,2,1.78,0.9597989949748743,0.949748743718593,70345824,973078528,408944640,0,0,0,297041,93352,1024010,0.4151677,0.72098625,0.7543635,0.7543635
374638,418,418,0,1.0,123599,123599,2,1.78,0.9552238805970149,0.9601990049751243,80727648,973078528,408944640,0,0,0,297150,93521,1024586,0.45434788,0.69038516,0.69776106,0.69776106
375639,402,402,0,1.0,116817,116817,2,1.8,0.9898477157360407,0.9796954314720813,91657440,973078528,408944640,0,0,0,297249,93677,1025138,0.43629298,0.6413787,0.6688243,0.6688243
376640,399,399,0,1.0,115745,115745,2,1.8,0.9550000000000001,0.9500000000000001,86312024,973078528,408944640,0,0,0,297346,93858,1025687,0.41055235,0.7355353,0.6708512,0.7355353
377641,415,415,0,1.0,119486,119486,2,1.8,0.7448979591836734,0.7295918367346939,47727896,973078528,408944640,0,0,0,297446,94029,1026254,0.43548235,0.67782295,0.79123396,0.79123396
378642,448,448,0,1.0,129462,129462,2,1.8,0.13725490196078433,0.1568627450980392,85341816,973078528,408944640,0,0,0,297554,94226,1026869,0.38049975,0.7272017,0.79984975,0.79984975
379642,438,438,0,1.0,127566,127566,2,1.8,0.3917525773195876,0.36082474226804123,91911032,973078528,408944640,0,0,0,297662,94396,1027472,0.31298432,0.6802664,0.77420354,0.77420354
380643,444,444,0,1.0,132680,132875,2,1.73,0.6080402010050251,0.6030150753768844,95889896,973078528,408944640,0,0,1,297783,94577,1028084,0.3123977,0.7094134,0.70549935,0.7094134
381645,420,420,0,1.0,120804,120609,2,1.73,0.5,0.5,86379008,973078528,408944640,0,0,0,297882,94749,1028660,0.32159573,0.73944145,0.7691121,0.7691121
382645,456,455,1,0.9978070175438597,134348,134348,2,1.73,0.485,0.485,62103568,973078528,408944640,0,0,0,298000,94930,1029287,0.43197283,0.73454654,0.7700746,0.7700746
383649,473,473,0,1.0,138913,138913,2,1.73,0.10552763819095477,0.09547738693467336,98054688,973078528,408944640,0,0,0,298119,95131,1029941,0.42230406,0.76736957,0.7389194,0.76736957
384650,452,452,0,1.0,132503,132503,2,1.73,0.47474747474747475,0.46969696969696967,74581856,973078528,408944640,0,0,0,298234,95327,1030562,0.43824443,0.7635586,0.7300518,0.7635586
385651,474,474,0,1.0,138439,138439,2,1.6,0.1065989847715736,0.09137055837563451,57661640,973078528,408944640,0,0,0,298353,95521,1031213,0.49943402,0.7478501,0.8218004,0.8218004
386652,430,430,0,1.0,125072,125072,2,1.6,0.4444444444444444,0.4292929292929293,46426144,973078528,408944640,0,0,0,298459,95700,1031804,0.43786162,0.74616426,0.73211443,0.74616426
387653,472,472,0,1.0,137666,137666,2,1.6,0.135,0.14,66616616,973078528,408944640,0,0,0,298577,95891,1032452,0.50885177,0.7078578,0.7532187,0.7532187
388654,431,431,0,1.0,124773,124773,2,1.6,0.3811881188118812,0.38613861386138615,83115096,973078528,408944640,0,0,0,298682,96093,1033043,0.49144977,0.7298562,0.72884965,0.7298562
389654,454,454,0,1.0,131958,133626,2,1.6,0.2142857142857143,0.1989795918367347,60843048,973078528,408944640,0,0,0,298796,96288,1033670,0.49805903,0.73575914,0.730135,0.73575914
