time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
66,32,32,0,1.0,12368,12368,2,8.76,0.18490786779760163,0.2024349224919567,261767984,973078528,392167424,0,0,1,252957,22763,788868,0.0075088125,0.99833894,0.9876078,0.99833894
1130,335,335,0,1.0,128493,128493,2,8.76,0.3786407766990291,0.39805825242718446,237722176,973078528,392167424,0,0,0,253122,22922,789369,0.010251522,0.82895565,0.6981915,0.82895565
2131,478,478,0,1.0,150129,150129,2,8.76,0.41836734693877553,0.413265306122449,54241416,973078528,392167424,0,0,0,253269,23105,790041,0.12433144,0.7241866,0.7539799,0.7539799
3132,406,406,0,1.0,118538,118538,2,8.76,0.28787878787878785,0.2777777777777778,125185752,973078528,392167424,0,0,0,253369,23287,790602,0.3159379,0.77439743,0.7747071,0.7747071
4133,423,423,0,1.0,123176,123176,2,8.76,0.3417085427135679,0.3517587939698492,159407280,973078528,392167424,0,0,0,253475,23465,791181,0.2788915,0.7247755,0.7548862,0.7548862
5134,452,452,0,1.0,131307,131307,2,8.14,0.15544041450777202,0.13471502590673576,236149128,973078528,392167424,0,0,0,253586,23672,791802,0.40454152,0.7508952,0.7873248,0.7873248
6134,450,450,0,1.0,131730,131730,2,8.14,0.19689119170984457,0.17098445595854922,82008456,973078528,392167424,0,0,0,253700,23889,792420,0.45392412,0.75217247,0.7628637,0.7628637
7135,456,456,0,1.0,132430,132430,2,8.14,0.3045685279187817,0.29949238578680204,170330920,973078528,392167424,0,0,0,253810,24083,793050,0.44735798,0.73550624,0.7726335,0.7726335
8136,468,468,0,1.0,137017,137017,2,8.14,0.21649484536082475,0.19587628865979378,187578320,973078528,392167424,0,0,0,253929,24284,793692,0.39433336,0.72835124,0.79931396,0.79931396
9137,480,480,0,1.0,142552,142552,2,8.14,0.3756345177664974,0.37055837563451777,127707256,973078528,392167424,0,0,0,254057,24453,794352,0.31039956,0.66872054,0.76858085,0.76858085
10138,430,430,0,1.0,127216,127495,2,7.57,0.2182741116751269,0.2131979695431472,91667024,973078528,392167424,0,0,1,254167,24643,794950,0.3802786,0.7256403,0.6859893,0.7256403
11157,456,456,0,1.0,132853,132574,2,7.57,0.3069306930693069,0.30198019801980197,148405160,973078528,392167424,0,0,0,254280,24818,795576,0.32070944,0.74855345,0.7086562,0.74855345
12158,464,464,0,1.0,136842,136842,2,7.57,0.1758793969849246,0.18592964824120603,174594056,973078528,392167424,0,0,0,254400,25010,796215,0.39806193,0.7322825,0.77098703,0.77098703
13159,476,476,0,1.0,140109,140109,2,7.57,0.11979166666666667,0.08854166666666667,84041608,973078528,392167424,0,0,0,254523,25208,796869,0.43138674,0.7555672,0.81953156,0.81953156
14159,459,459,0,1.0,135296,135296,2,7.57,0.24102564102564103,0.22564102564102562,87858960,973078528,392167424,0,0,0,254641,25395,797502,0.437577,0.69024134,0.79063976,0.79063976
