time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
36,32,32,0,1.0,12208,12208,2,9.67,0.20362638479520276,0.22092082528712267,261362976,973078528,392167424,0,0,0,250829,22498,782458,0.007859179,0.99827176,0.98724765,0.99827176
1062,320,320,0,1.0,122080,122080,2,9.67,0.24000000000000002,0.245,237329880,973078528,392167424,0,0,0,250990,22671,782961,0.0067806435,0.89441895,0.68825495,0.89441895
2063,416,416,0,1.0,141904,141904,2,9.67,0.1557788944723618,0.1608040201005025,200339736,973078528,392167424,0,0,0,251150,22848,783567,0.022965733,0.8158351,0.82041967,0.82041967
3064,418,418,0,1.0,119362,119362,2,9.21,0.5721649484536082,0.5515463917525774,260716032,973078528,392167424,0,0,0,251252,23043,784137,0.2956755,0.77861327,0.7572453,0.77861327
4064,450,450,0,1.0,130406,130406,2,9.21,0.1658291457286432,0.1708542713567839,87917352,973078528,392167424,0,0,0,251366,23212,784755,0.26579577,0.6674288,0.8074002,0.8074002
5065,452,452,0,1.0,130587,130587,2,9.21,0.20304568527918782,0.1979695431472081,240162984,973078528,392167424,0,0,0,251479,23426,785376,0.32616204,0.7093774,0.7874735,0.7874735
6066,458,458,0,1.0,133348,133348,2,9.21,0.32999999999999996,0.33499999999999996,101093912,973078528,392167424,0,0,0,251595,23614,786009,0.4171685,0.7337593,0.7813055,0.7813055
7067,459,459,0,1.0,132294,132294,2,9.21,0.24747474747474746,0.25252525252525254,168025808,973078528,392167424,0,0,0,251709,23805,786639,0.43058115,0.7633297,0.77160376,0.77160376
8067,449,449,0,1.0,128951,128951,2,8.56,0.19072164948453607,0.17525773195876287,49156824,973078528,392167424,0,0,0,251818,23982,787257,0.3500558,0.7659388,0.74227095,0.7659388
9068,467,467,0,1.0,135637,135637,2,8.56,0.14948453608247422,0.12371134020618557,116682824,973078528,392167424,0,0,0,251937,24171,787899,0.36229494,0.7357581,0.7775078,0.7775078
10069,458,458,0,1.0,132876,132876,2,8.56,0.2564102564102564,0.24615384615384617,92108792,973078528,392167424,0,0,0,252053,24357,788529,0.42467752,0.723061,0.7590535,0.7590535
11079,451,451,0,1.0,130587,130587,2,8.56,0.14646464646464646,0.16161616161616163,139554624,973078528,392167424,0,0,0,252166,24546,789150,0.33442834,0.7338744,0.75056523,0.75056523
12080,463,463,0,1.0,133820,133820,2,8.56,0.11340206185567009,0.0979381443298969,244471000,973078528,392167424,0,0,0,252282,24731,789786,0.4152301,0.67024076,0.79340076,0.79340076
13081,448,448,0,1.0,129643,129643,2,8.03,0.13131313131313133,0.12626262626262627,163238240,973078528,392167424,0,0,0,252395,24937,790401,0.46147922,0.70483327,0.7589374,0.7589374
14081,467,467,0,1.0,135637,135637,2,8.03,0.1282051282051282,0.11282051282051282,226116368,973078528,392167424,0,0,0,252514,25123,791043,0.39273375,0.7030632,0.7450594,0.7450594
15082,454,454,0,1.0,131240,131240,2,8.03,0.171875,0.14583333333333334,110688224,973078528,392167424,0,0,0,252626,25292,791670,0.45135096,0.70116824,0.7718523,0.7718523
16083,461,461,0,1.0,134984,134984,2,8.03,0.18461538461538463,0.1641025641025641,162407464,973078528,392167424,0,0,0,252746,25480,792306,0.3964054,0.7259253,0.80240494,0.80240494
17084,463,463,0,1.0,133820,133820,2,8.03,0.11734693877551021,0.11224489795918367,73511176,973078528,392167424,0,0,0,252862,25662,792942,0.4227915,0.75573355,0.82281977,0.82281977
18084,443,443,0,1.0,127535,127535,2,7.47,0.11282051282051282,0.09743589743589744,182362344,973078528,392167424,0,0,0,252971,25827,793551,0.45343134,0.7188001,0.7322035,0.7322035
19085,472,472,0,1.0,137635,137635,2,7.47,0.1116751269035533,0.10152284263959391,59696776,973078528,392167424,0,0,0,253092,26024,794202,0.40681124,0.7540004,0.7998172,0.7998172
20086,435,435,0,1.0,125356,125356,2,7.47,0.1377551020408163,0.13265306122448978,89028904,973078528,392167424,0,0,0,253200,26200,794799,0.32919335,0.7104861,0.70838225,0.7104861
21087,464,464,0,1.0,134402,134402,2,7.47,0.14795918367346939,0.1377551020408163,101080872,973078528,392167424,0,0,0,253318,26377,795435,0.37932044,0.7107964,0.8130977,0.8130977
22089,446,446,0,1.0,129061,129061,2,7.47,0.16580310880829013,0.13471502590673576,182846904,973078528,392167424,0,1,0,253429,26563,796050,0.46098235,0.72568953,0.755021,0.755021
23100,433,433,0,1.0,123429,123645,2,6.95,0.135,0.135,249678344,973078528,392167424,0,0,0,253533,26762,796644,0.45794272,0.7550751,0.76931655,0.76931655
24101,465,465,0,1.0,134292,134076,2,6.95,0.10714285714285715,0.09693877551020408,151299728,973078528,392167424,0,0,0,253648,26956,797283,0.45491016,0.725672,0.76672435,0.76672435
25101,433,433,0,1.0,124011,124011,2,6.95,0.09230769230769231,0.07179487179487179,73952712,973078528,392167424,0,0,0,253753,27140,797877,0.47145283,0.7283515,0.7299768,0.7299768
26102,456,456,0,1.0,131822,131822,2,6.95,0.10824742268041238,0.0979381443298969,178563728,973078528,392167424,0,0,0,253867,27339,798504,0.48400298,0.7652171,0.7546614,0.7652171
27103,439,439,0,1.0,125246,125246,2,6.95,0.10050251256281406,0.10050251256281408,78729904,973078528,392167424,0,0,0,253973,27534,799104,0.4744062,0.7283243,0.75304127,0.75304127
28104,457,457,0,1.0,132876,132876,2,6.47,0.13705583756345177,0.1319796954314721,143530056,973078528,392167424,0,0,0,254089,27723,799734,0.48835036,0.7448274,0.7636203,0.7636203
29104,452,452,0,1.0,130296,130296,2,6.47,0.12060301507537688,0.12562814070351758,214331136,973078528,392167424,0,0,0,254201,27920,800355,0.48975316,0.7292954,0.7459131,0.7459131
30105,456,456,0,1.0,132695,132695,2,6.47,0.135678391959799,0.1407035175879397,248551032,973078528,392167424,0,0,0,254318,28103,800982,0.44283488,0.6887333,0.80640167,0.80640167
31106,480,480,0,1.0,139232,139232,2,6.47,0.4030612244897959,0.39285714285714285,81805280,973078528,392167424,0,0,0,254438,28287,801645,0.34824368,0.7226577,0.8083678,0.8083678
32107,449,449,0,1.0,130406,130406,2,6.47,0.155,0.16417910447761194,69499216,973078528,392167424,0,0,0,254552,28488,802263,0.38595384,0.74902964,0.7775457,0.7775457
33108,467,467,0,1.0,135562,136109,2,6.03,0.10880829015544041,0.08333333333333333,175033328,973078528,392167424,0,0,0,254671,28701,802907,0.44317746,0.73515165,0.76495427,0.76495427
34108,431,431,0,1.0,123032,122485,2,6.03,0.0816326530612245,0.07653061224489796,111172944,973078528,392167424,0,0,0,254774,28896,803496,0.39587188,0.7381409,0.733809,0.7381409
35109,506,506,0,1.0,149261,149261,2,6.03,0.1319796954314721,0.1218274111675127,161586416,973078528,392167424,0,0,0,254909,29074,804195,0.46544704,0.70534366,0.8042168,0.8042168
36110,457,457,0,1.0,133458,133458,2,6.03,0.135,0.14,215696984,973078528,392167424,0,0,0,255027,29275,804825,0.45059392,0.6991336,0.7564321,0.7564321
37110,453,453,0,1.0,131641,131641,2,6.03,0.15228426395939085,0.15228426395939088,189618264,973078528,392167424,0,0,0,255142,29458,805449,0.4967265,0.70970744,0.7912042,0.7912042
38111,452,452,0,1.0,130005,130005,2,5.63,0.11675126903553298,0.1116751269035533,58421000,973078528,392167424,0,0,0,255253,29632,806070,0.48368162,0.71675986,0.7671876,0.7671876
39112,442,442,0,1.0,127341,127535,2,5.63,0.10309278350515463,0.08247422680412371,183296944,973078528,392167424,0,0,0,255362,29822,806678,0.44686186,0.72909003,0.7380141,0.7380141
