time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
39,10,10,0,1.0,3865,3865,2,5.49,0.004787622244927747,0.1771445253039181,41855320,973078528,67108864,0,0,0,20727,15677,65191,0.03922912,0.99292177,0.97911257,0.99292177
1082,342,342,0,1.0,132183,132183,2,5.49,0.6517412935323383,0.6567164179104478,15651800,973078528,67108864,0,0,0,20903,16724,65704,0.011686791,0.9804882,0.8516054,0.9804882
2083,464,464,0,1.0,152419,152419,2,5.49,0.7185929648241206,0.7236180904522613,21889880,973078528,95420416,0,0,0,21064,17731,66364,0.0067594615,0.83926046,0.8700452,0.8700452
3084,390,390,0,1.0,112055,112055,2,5.49,0.7268041237113402,0.711340206185567,32904864,973078528,95420416,0,0,0,21155,18747,66901,0.46589294,0.8447063,0.7650619,0.8447063
4085,462,462,0,1.0,135595,135595,2,5.49,0.6464646464646464,0.6313131313131313,65520832,973078528,115343360,0,0,0,21274,19766,67534,0.5375739,0.82529056,0.8401292,0.8401292
5086,436,436,0,1.0,126195,126195,2,5.05,0.19270833333333331,0.15625,49799080,973078528,115343360,0,0,0,21379,20785,68133,0.4411573,0.8328662,0.8277064,0.8328662
6087,432,432,0,1.0,125845,125845,2,5.05,0.17857142857142858,0.16326530612244897,72393104,973078528,115343360,0,0,0,21486,21805,68728,0.38671196,0.8432246,0.7334633,0.8432246
7087,471,471,0,1.0,137965,137965,2,5.05,0.23979591836734693,0.21428571428571427,73607936,973078528,115343360,0,0,0,21605,22826,69376,0.52001184,0.8289251,0.8252523,0.8289251
8088,457,457,0,1.0,134523,134523,2,5.05,0.16836734693877553,0.14795918367346939,75214384,973078528,115343360,0,0,0,21722,23843,70006,0.5092231,0.8410946,0.82467866,0.8410946
9089,453,453,0,1.0,131699,131699,2,5.05,0.0945273631840796,0.1044776119402985,86534328,973078528,115343360,0,0,0,21833,24862,70630,0.37919128,0.8416039,0.80885816,0.8416039
10090,459,459,0,1.0,134605,134605,2,4.65,0.116751269035533,0.10152284263959391,89335840,973078528,115343360,0,0,0,21950,25881,71260,0.46573272,0.8396897,0.77454996,0.8396897
11099,475,475,0,1.0,139810,139810,2,4.65,0.17412935323383083,0.17412935323383083,66807704,973078528,115343360,0,0,0,22072,26908,71914,0.47094515,0.8308897,0.8258575,0.8308897
12100,439,439,0,1.0,127267,127267,2,4.65,0.1065989847715736,0.09137055837563451,73395400,973078528,115343360,0,0,0,22179,27926,72517,0.49304026,0.84795386,0.7972951,0.84795386
13101,476,476,0,1.0,140924,141480,2,4.65,0.11055276381909548,0.09547738693467336,39393544,973078528,115343360,0,1,1,22305,28945,73174,0.52723795,0.8254585,0.7750123,0.8254585
14102,438,438,0,1.0,126153,125597,2,4.65,0.065,0.075,43042416,973078528,115343360,0,0,0,22408,29962,73774,0.5014277,0.83724046,0.7796131,0.83724046
15102,448,448,0,1.0,130658,130875,2,4.28,0.07035175879396985,0.06030150753768845,62219680,973078528,115343360,0,0,0,22521,30983,74389,0.5745157,0.82671183,0.7711901,0.82671183
16103,470,470,0,1.0,137965,137748,2,4.28,0.09278350515463918,0.061855670103092786,37467696,973078528,115343360,0,0,0,22639,32000,75037,0.4729381,0.83499724,0.8038587,0.83499724
17104,448,448,0,1.0,131730,131730,2,4.28,0.36363636363636365,0.35353535353535354,93129992,973078528,115343360,0,0,0,22753,33017,75655,0.46113247,0.8463467,0.76272655,0.8463467
