time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
24,0,0,0,1.0,0,0,2,5.27,0.16602238633741057,0.2980036925917378,41206840,973078528,67108864,0,0,0,20482,0,64432,0.04876315,0.0,0.98164916,0.98164916
1096,377,377,0,1.0,140788,140788,2,5.01,0.5931372549019608,0.6029411764705882,23554840,973078528,67108864,0,0,0,20658,11,64990,0.027966307,0.20605262,0.8774329,0.8774329
2096,458,458,0,1.0,144667,144667,2,5.01,0.7128205128205128,0.6923076923076924,37837016,973078528,84934656,0,0,0,20801,23,65635,0.21130016,0.054390334,0.80199385,0.80199385
3097,380,380,0,1.0,108190,108407,2,5.01,0.34825870646766166,0.36318407960199006,66056248,973078528,102760448,9,0,0,20897,39,66157,0.2870835,0.08771479,0.7165485,0.7165485
4098,443,443,0,1.0,131803,131586,2,5.01,0.5230769230769231,0.5076923076923077,73138432,973078528,123731968,0,0,0,21006,57,66766,0.2338369,0.06085439,0.7551332,0.7551332
5099,422,422,0,1.0,122753,122753,2,5.01,0.1878172588832487,0.17258883248730963,91509352,973078528,148897792,0,0,0,21109,76,67348,0.456589,0.042790238,0.753394,0.753394
6100,438,438,0,1.0,128762,128762,2,4.6,0.335,0.335,74486200,973078528,148897792,0,0,0,21221,92,67951,0.29811436,0.067231774,0.8124505,0.8124505
7101,441,440,1,0.9977324263038548,129360,129360,2,4.6,0.335,0.335,104482920,973078528,148897792,0,0,0,21335,113,68554,0.40381712,0.03213294,0.82992005,0.82992005
8102,433,433,0,1.0,125422,125422,2,4.6,0.12626262626262627,0.11616161616161616,98955864,973078528,148897792,0,0,0,21439,130,69151,0.4640609,0.04970718,0.8103073,0.8103073
9102,454,454,0,1.0,132678,132678,2,4.6,0.07960199004975124,0.08955223880597014,100289632,973078528,148897792,0,0,0,21553,149,69775,0.5304688,0.047206853,0.7980703,0.7980703
10103,451,451,0,1.0,131008,131008,2,4.6,0.15736040609137056,0.14213197969543145,75235208,973078528,148897792,0,0,0,21663,167,70396,0.49388483,0.057216816,0.78494984,0.78494984
11112,463,463,0,1.0,135770,135770,2,4.24,0.07881773399014778,0.08374384236453203,112173720,973078528,148897792,0,0,0,21781,187,71032,0.51039916,0.047620315,0.8041721,0.8041721
