time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
9,2,2,0,1.0,783,783,8,4.21,0.32103912370754234,0.34610850504703194,50401888,4055891968,70254592,1,0,0,20204,4,63599,0.0071998383,0.14441743,0.9968031,0.9968031
1026,178,178,0,1.0,69687,69687,8,3.95,0.052303860523038606,0.052303860523038606,39756832,4055891968,70254592,0,0,0,20293,8,63862,0.047769237,0.4166666,0.95503443,0.95503443
2027,211,211,0,1.0,69397,69397,8,3.95,0.06965174129353234,0.07835820895522388,51365880,4055891968,70254592,0,0,0,20364,12,64166,0.32970226,0.14627223,0.9119308,0.9119308
3028,212,212,0,1.0,62136,62136,8,3.95,0.14052697616060225,0.13927227101631118,43980552,4055891968,70254592,0,0,0,20416,20,64457,0.5797766,0.20637128,0.92568284,0.92568284
4029,215,215,0,1.0,63226,63226,8,3.95,0.11180904522613065,0.11180904522613065,48612976,4055891968,84934656,0,0,0,20470,30,64751,0.5824546,0.072479546,0.90016437,0.90016437
5029,181,181,0,1.0,52878,52878,8,3.95,0.06575682382133995,0.07692307692307691,19746696,4055891968,84934656,0,0,0,20512,36,65003,0.20175096,0.21139947,0.8882262,0.8882262
6030,226,226,0,1.0,66527,66527,8,3.71,0.054088050314465404,0.05157232704402515,19233624,4055891968,84934656,0,0,0,20569,46,65312,0.33595288,0.12478231,0.9180184,0.9180184
7031,216,216,0,1.0,64316,64316,8,3.71,0.03865336658354115,0.046134663341645885,62929624,4055891968,84934656,0,0,0,20625,56,65609,0.61893386,0.07958696,0.9422964,0.9422964
8031,212,212,0,1.0,61215,61215,8,3.71,0.030000000000000002,0.035,25348808,4055891968,84934656,0,0,0,20674,64,65900,0.4603834,0.13917904,0.9031532,0.9031532
9032,244,244,0,1.0,72960,72960,8,3.71,0.030150753768844223,0.027638190954773868,50272744,4055891968,84934656,0,0,0,20738,74,66236,0.49691713,0.10490757,0.9496158,0.9496158
10033,229,229,0,1.0,68400,68400,8,3.71,0.016270337922403004,0.018773466833541926,40928736,4055891968,84934656,0,0,0,20798,84,66551,0.57724094,0.083072454,0.9474685,0.9474685
11039,231,231,0,1.0,67648,67648,8,3.5,0.047322540473225407,0.05105853051058531,31430936,4055891968,84934656,0,0,0,20854,93,66869,0.52503645,0.106822185,0.9443256,0.9443256
