time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
44,14,14,0,1.0,5134,6264,2,3.81,0.2266188074552554,0.8605375999149619,104171120,973078528,230686720,0,0,0,247005,26,770920,0.0018296128,0.6286642,0.99746305,0.99746305
2074,393,393,0,1.0,137282,136152,2,3.51,0.24189526184538654,0.24688279301745636,83287136,973078528,230686720,0,0,0,247157,31,771486,0.24642408,0.05710006,0.9052695,0.9052695
4074,370,370,0,1.0,107629,107629,2,3.51,0.725,0.7225,97978144,973078528,230686720,0,0,0,247244,46,771996,0.31162956,0.046756826,0.89948726,0.89948726
6075,418,418,0,1.0,121923,121923,2,3.51,0.16290726817042606,0.16290726817042606,89633776,973078528,230686720,0,0,0,247345,64,772569,0.5523235,0.0662377,0.90853024,0.90853024
8076,422,421,1,0.9976303317535545,124766,125331,2,3.39,0.2225,0.22,80324504,973078528,230686720,0,0,0,247454,83,773147,0.452002,0.016556052,0.9308587,0.9308587
10076,435,435,0,1.0,127217,126652,2,3.39,0.042606516290726815,0.042606516290726815,70906984,973078528,230686720,0,0,0,247558,100,773745,0.59376705,0.033562396,0.91977495,0.91977495
12084,460,460,0,1.0,136662,136662,2,3.11,0.040100250626566414,0.03258145363408521,62252624,973078528,230686720,0,0,0,247676,119,774378,0.49284863,0.033392075,0.9015032,0.9015032
14085,470,470,0,1.0,139180,139180,2,3.11,0.07500000000000001,0.0775,52004808,973078528,230686720,0,0,0,247796,139,775023,0.6315587,0.02201066,0.9541113,0.9541113
16085,447,447,0,1.0,131350,131350,2,3.11,0.054862842892768084,0.057356608478802994,41943736,973078528,230686720,0,0,0,247906,158,775638,0.6931835,0.057796102,0.9251484,0.9251484
18086,403,403,0,1.0,118453,118453,2,3.02,0.25879396984924624,0.2537688442211055,104413752,973078528,230686720,0,0,0,248005,175,776193,0.54237527,0.037555866,0.9132549,0.9132549
20087,456,456,0,1.0,134006,134006,2,3.02,0.05025125628140704,0.04773869346733668,94748888,973078528,230686720,0,0,0,248119,195,776817,0.5545087,0.020970877,0.9542335,0.9542335
22087,459,459,0,1.0,136048,136048,2,2.78,0.02,0.0175,85199312,973078528,230686720,0,0,0,248235,214,777450,0.5357861,0.020536963,0.94243485,0.94243485
24088,459,459,0,1.0,136355,136355,2,2.78,0.0325,0.035,75294064,973078528,230686720,0,0,0,248352,233,778083,0.59777987,0.029559402,0.91727334,0.91727334
26088,452,452,0,1.0,132916,132916,2,2.78,0.014962593516209476,0.017456359102244388,66385480,973078528,230686720,0,0,0,248464,252,778704,0.6865319,0.029548004,0.892627,0.892627
28089,460,460,0,1.0,136048,136048,2,2.64,0.09798994974874371,0.09547738693467336,56469120,973078528,230686720,0,0,0,248580,271,779337,0.5955859,0.030079922,0.92190796,0.92190796
30090,445,445,0,1.0,131181,131181,2,2.64,0.057499999999999996,0.055,47048560,973078528,230686720,0,0,0,248691,290,779949,0.6177632,0.02501248,0.9186928,0.9186928
32090,460,460,0,1.0,136355,136355,2,2.43,0.06982543640897755,0.07481296758104738,37433888,973078528,230686720,0,0,0,248808,309,780582,0.6609779,0.021015033,0.91288126,0.91288126
34091,449,449,0,1.0,132440,132440,2,2.43,0.05472636815920398,0.062189054726368154,111525080,973078528,230686720,0,0,0,248920,327,781200,0.6415109,0.030762196,0.910331,0.910331
36092,456,456,0,1.0,134789,134789,2,2.43,0.09022556390977443,0.08521303258145363,101707304,973078528,230686720,0,0,0,249035,346,781827,0.6289688,0.030293891,0.9099215,0.9099215
38092,455,455,0,1.0,133699,133699,2,2.23,0.014925373134328358,0.01990049751243781,91959016,973078528,230686720,0,0,0,249148,366,782451,0.6610582,0.01970415,0.92807317,0.92807317
40093,452,452,0,1.0,132609,132609,2,2.23,0.01507537688442211,0.010050251256281407,82559984,973078528,230686720,0,0,0,249259,385,783072,0.7123557,0.05962618,0.91422397,0.91422397
42093,453,453,0,1.0,134006,134006,2,2.05,0.047619047619047616,0.045112781954887216,73459120,973078528,230686720,0,0,0,249373,403,783696,0.66545737,0.06877387,0.93910605,0.93910605
44094,454,454,0,1.0,133699,133699,2,2.05,0.015151515151515152,0.007575757575757576,63732680,973078528,230686720,0,0,0,249486,422,784320,0.5957148,0.027739782,0.93312526,0.93312526
46094,468,468,0,1.0,139180,139180,2,2.05,0.03233830845771144,0.03731343283582089,53938504,973078528,230686720,0,0,0,249606,441,784965,0.6047345,0.0266906,0.937874,0.937874
48095,424,424,0,1.0,126590,126590,2,2.05,0.14,0.14250000000000002,103734640,973078528,230686720,0,0,0,249716,459,785550,0.64626205,0.032287687,0.91898525,0.91898525
50096,466,466,0,1.0,138397,138397,2,2.05,0.015075376884422112,0.010050251256281407,93902480,973078528,230686720,0,0,0,249835,478,786192,0.71496224,0.04144073,0.9289466,0.9289466
52096,458,458,0,1.0,135265,135265,2,1.88,0.017543859649122806,0.015037593984962405,84115688,973078528,230686720,0,0,0,249950,497,786822,0.61462194,0.059175864,0.9327861,0.9327861
54097,456,456,0,1.0,134482,134482,2,1.88,0.015113350125944584,0.007556675062972292,74684960,973078528,230686720,0,0,0,250064,516,787449,0.5971299,0.045601867,0.9353797,0.9353797
56097,448,448,0,1.0,131350,131350,2,1.88,0.014925373134328358,0.017412935323383085,65379984,973078528,230686720,0,0,0,250174,535,788064,0.7011746,0.028133787,0.91354465,0.91354465
58098,456,456,0,1.0,134482,134482,2,1.73,0.0175,0.0175,56012792,973078528,230686720,0,0,0,250288,554,788691,0.6418979,0.028116666,0.92504555,0.92504555
60099,460,460,0,1.0,136048,136048,2,1.73,0.09319899244332493,0.08816120906801007,46722096,973078528,230686720,0,0,0,250404,573,789324,0.6029726,0.026260877,0.9322467,0.9322467
62099,460,460,0,1.0,136355,136355,2,1.59,0.03768844221105527,0.03266331658291457,37002152,973078528,230686720,0,0,0,250521,592,789957,0.56908876,0.027204338,0.95908254,0.95908254
64100,447,447,0,1.0,131964,131964,2,1.59,0.010050251256281407,0.007537688442211055,27725568,973078528,230686720,0,0,0,250633,611,790572,0.6336631,0.023937544,0.9126457,0.9126457
66100,454,454,0,1.0,133392,133392,2,1.59,0.10025062656641603,0.10025062656641603,102851840,973078528,230686720,0,0,0,250745,630,791196,0.6397603,0.032005467,0.9347666,0.9347666
68101,458,458,0,1.0,134958,134958,2,1.47,0.020050125313283207,0.015037593984962405,93206688,973078528,230686720,0,0,0,250859,649,791826,0.6284647,0.024092374,0.9418967,0.9418967
70101,447,447,0,1.0,130260,130260,2,1.47,0.01256281407035176,0.010050251256281407,84339600,973078528,230686720,0,0,0,250967,668,792438,0.6257944,0.0380956,0.9420637,0.9420637
72102,430,430,0,1.0,125700,125700,2,1.35,0.03722084367245657,0.04466501240694789,75394328,973078528,230686720,0,0,0,251071,686,793029,0.5363373,0.036255993,0.91746265,0.91746265
74103,465,465,0,1.0,138535,138535,2,1.35,0.035,0.037500000000000006,65670112,973078528,230686720,0,0,0,251192,706,793668,0.52881706,0.020592349,0.92981875,0.92981875
76103,463,463,0,1.0,136742,137307,2,1.35,0.02506265664160401,0.020050125313283207,55875608,973078528,230686720,0,0,0,251309,725,794304,0.5887475,0.08361603,0.92149574,0.92149574
78104,390,390,0,1.0,114151,113586,2,1.4,0.1371571072319202,0.1396508728179551,103896864,973078528,230686720,0,0,0,251403,742,794841,0.6164181,0.032902814,0.9251791,0.9251791
80105,460,460,0,1.0,136048,136048,2,1.4,0.020050125313283207,0.017543859649122806,94631832,973078528,230686720,0,0,0,251519,761,795474,0.5411902,0.028787479,0.9257075,0.9257075
82106,448,448,0,1.0,131350,131350,2,1.29,0.0125,0.015,85374168,973078528,230686720,0,0,0,251629,780,796089,0.6554367,0.028789582,0.91383684,0.91383684
84106,466,466,0,1.0,138397,138397,2,1.29,0.014925373134328358,0.01990049751243781,75537432,973078528,230686720,0,0,0,251748,799,796731,0.71593326,0.028604874,0.88642085,0.88642085
86107,456,456,0,1.0,134482,134482,2,1.29,0.022556390977443608,0.017543859649122806,66358288,973078528,230686720,0,0,0,251862,818,797358,0.63025206,0.06989486,0.90015286,0.90015286
88107,450,450,0,1.0,132133,132133,2,1.27,0.015037593984962405,0.015037593984962405,56879008,973078528,230686720,0,0,0,251973,837,797976,0.69601804,0.08728263,0.9058576,0.9058576
90108,446,446,0,1.0,130567,130567,2,1.27,0.0175,0.0175,47761680,973078528,230686720,0,0,0,252082,856,798588,0.6781291,0.028643502,0.90660924,0.90660924
92109,456,456,0,1.0,134482,134482,2,1.16,0.01256281407035176,0.010050251256281407,38299832,973078528,230686720,0,0,0,252196,875,799215,0.6681136,0.028641012,0.9180253,0.9180253
94109,456,456,0,1.0,134482,134482,2,1.16,0.017456359102244388,0.017456359102244388,28714160,973078528,230686720,0,0,0,252310,894,799842,0.6869018,0.05669899,0.9030111,0.9030111
96110,470,470,0,1.0,139963,139963,2,1.16,0.10776942355889724,0.10526315789473684,103275928,973078528,230686720,0,0,0,252431,913,800490,0.6146179,0.0393764,0.88748795,0.88748795
98110,462,462,0,1.0,136831,136831,2,1.07,0.017456359102244388,0.0199501246882793,93637080,973078528,230686720,0,0,0,252548,932,801126,0.6966364,0.02803862,0.91241777,0.91241777
100111,460,460,0,1.0,136048,136048,2,1.07,0.022556390977443608,0.020050125313283207,84284080,973078528,230686720,0,0,0,252664,951,801759,0.7263877,0.036881216,0.9176652,0.9176652
102111,446,446,0,1.0,130567,130567,2,0.98,0.012531328320802004,0.012531328320802004,75148536,973078528,230686720,0,0,0,252773,970,802371,0.7041763,0.028026203,0.9311954,0.9311954
104112,456,456,0,1.0,134482,134482,2,0.98,0.01507537688442211,0.010050251256281407,66141704,973078528,230686720,0,0,0,252887,989,802998,0.6516793,0.028186237,0.92552567,0.92552567
106112,444,444,0,1.0,129784,129784,2,0.98,0.012594458438287154,0.005037783375314861,56621336,973078528,230686720,0,0,0,252995,1008,803607,0.6873278,0.028348932,0.93083006,0.93083006
108113,402,402,0,1.0,117977,117977,2,1.07,0.14105793450881612,0.13350125944584382,103576664,973078528,230686720,0,0,0,253094,1026,804159,0.6634801,0.033544324,0.9041606,0.9041606
110113,449,449,0,1.0,133361,133361,2,1.07,0.17661691542288557,0.181592039800995,41892464,973078528,230686720,0,0,0,253209,1477,804777,0.563684,0.024177352,0.92323345,0.92323345
112114,461,461,0,1.0,136831,136831,2,0.98,0.03258145363408521,0.03007518796992481,32650744,973078528,230686720,0,0,0,253326,1495,805413,0.50650275,0.03251016,0.9090913,0.9090913
114115,450,450,0,1.0,132133,132133,2,0.98,0.125,0.1275,108136368,973078528,230686720,0,0,0,253437,1514,806031,0.54465723,0.061533794,0.9048089,0.9048089
116115,460,460,0,1.0,136355,136355,2,0.98,0.049999999999999996,0.049999999999999996,98548784,973078528,230686720,0,0,0,253554,1533,806664,0.5830813,0.02682281,0.9329975,0.9329975
118116,446,446,0,1.0,130874,130874,2,0.9,0.045,0.0475,89458208,973078528,230686720,0,0,0,253664,1552,807276,0.6323035,0.026806548,0.93132895,0.93132895
120116,412,412,0,1.0,120664,120664,2,0.9,0.1375,0.1375,75021152,973078528,230686720,0,0,0,253764,1615,807843,0.41793123,0.05858835,0.88938856,0.88938856
122117,305,305,0,1.0,87485,87485,2,0.83,0.075,0.075,68058832,973078528,230686720,0,0,0,253835,1637,808257,0.27455217,0.09946988,0.6368222,0.6368222
124117,28,28,0,1.0,8644,8644,2,0.83,0.005,0.0025,65768792,973078528,230686720,0,0,0,253843,1646,808296,0.041737728,0.17333102,0.15695927,0.17333102
126118,66,66,0,1.0,18885,18885,2,0.83,0.02,0.0225,63131456,973078528,230686720,0,0,0,253858,1657,808386,0.17889804,0.2113679,0.5924501,0.5924501
128119,70,70,0,1.0,20451,20451,2,0.76,0.0025,0.0025,61106096,973078528,230686720,0,0,0,253875,1668,808482,0.080817275,0.18938525,0.2725287,0.2725287
130119,0,0,0,1.0,0,0,2,0.76,0.0,0.0,59934112,973078528,230686720,0,0,0,253875,1676,808482,0.0,0.16490619,0.0,0.16490619
132120,50,50,0,1.0,14939,14939,2,0.7,0.005012531328320802,0.002506265664160401,58534888,973078528,230686720,0,0,0,253888,1686,808551,0.06397898,0.181017,0.24463195,0.24463195
134120,88,88,0,1.0,25180,25180,2,0.7,0.022556390977443608,0.020050125313283207,55813504,973078528,230686720,0,0,0,253908,1698,808671,0.09748421,0.19397695,0.34239337,0.34239337
136121,37,37,0,1.0,11469,11469,2,0.7,0.0,0.004987531172069825,53899728,973078528,230686720,0,0,0,253919,1708,808722,0.19337839,0.22270459,0.44484055,0.44484055
138121,9,9,0,1.0,1904,1904,2,0.81,0.12781954887218044,0.12531328320802004,110897928,973078528,230686720,0,0,0,253919,1717,808734,0.0,0.16920255,0.03309299,0.16920255
140122,84,84,0,1.0,25625,25625,2,0.81,0.045112781954887216,0.03759398496240601,106406280,973078528,230686720,0,0,0,253942,1729,808851,0.24552219,0.23254094,0.65370834,0.65370834
142123,103,103,0,1.0,29740,29740,2,0.74,0.002506265664160401,0.002506265664160401,103126344,973078528,230686720,0,0,0,253966,1741,808992,0.22894007,0.2335448,0.56936187,0.56936187
144123,94,94,0,1.0,28450,28450,2,0.74,0.005012531328320802,0.002506265664160401,100519280,973078528,230686720,0,0,0,253992,1753,809121,0.29792193,0.23341566,0.562795,0.562795
146123,113,113,0,1.0,33348,33348,2,0.74,0.040100250626566414,0.03759398496240601,97570800,973078528,230686720,0,0,0,254020,1765,809277,0.20149115,0.2163409,0.5245362,0.5245362
148124,24,24,0,1.0,7078,7078,2,0.68,0.0024937655860349127,0.004987531172069825,96860632,973078528,230686720,0,0,0,254026,1774,809310,0.0679906,0.18215717,0.2647736,0.2647736
150125,19,19,0,1.0,6740,6740,2,0.68,0.020100502512562814,0.08542713567839197,95351024,973078528,230686720,0,0,0,254034,1784,809337,0.19999999,0.2060475,0.16385965,0.2060475
152125,164,164,0,1.0,47980,47980,2,0.71,0.09660574412532637,0.4386422976501306,91195192,973078528,230686720,0,0,0,254074,1798,809562,0.41289684,0.24794482,0.7205238,0.7205238
154126,74,74,0,1.0,22017,22017,2,0.71,0.007462686567164179,0.31592039800995025,88845376,973078528,230686720,0,0,0,254093,1809,809664,0.28810924,0.23979858,0.5579912,0.5579912
156126,52,52,0,1.0,15722,15722,2,0.71,0.004987531172069825,0.41895261845386533,87250408,973078528,230686720,0,0,0,254107,1819,809736,0.30001628,0.23172235,0.5197931,0.5197931
158127,96,96,0,1.0,28312,28312,2,0.81,0.02518891687657431,0.35012594458438284,84054856,973078528,230686720,0,0,0,254131,1831,809868,0.2657415,0.22461341,0.5120646,0.5120646
160127,28,28,0,1.0,7723,7723,2,0.81,0.0025252525252525255,0.3914141414141414,82382360,973078528,230686720,0,0,0,254136,1840,809907,0.10310504,0.20359176,0.27358255,0.27358255
162128,68,68,0,1.0,19668,19668,2,0.83,0.0025,0.38,80494040,973078528,230686720,0,0,0,254152,1851,810000,0.2519375,0.21142536,0.608494,0.608494
164129,116,116,0,1.0,34745,34745,2,0.83,0.09181141439205955,0.29280397022332505,77647704,973078528,230686720,0,0,0,254183,1864,810159,0.1950105,0.2354769,0.51648986,0.51648986
166129,74,74,0,1.0,22017,22017,2,0.83,0.0025,0.005,74848096,973078528,230686720,0,0,0,254202,1875,810261,0.22798808,0.22912975,0.53534603,0.53534603
