time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
63,16,16,0,1.0,6344,6344,2,4.26,0.22834117108104823,0.9008143154981723,70484136,973078528,196083712,0,0,0,248783,26,776228,0.002886512,0.6234288,0.99717665,0.99717665
2080,390,389,1,0.9974358974358974,136951,136951,2,4.26,0.2675,0.2675,42074896,973078528,196083712,0,0,0,248934,31,776789,0.1988086,0.06088729,0.9232667,0.9232667
4081,417,416,1,0.9976019184652278,123428,123428,2,4.08,0.5879396984924623,0.585427135678392,46986400,973078528,196083712,0,0,0,249036,48,777362,0.6074143,0.028472984,0.9249019,0.9249019
6081,456,456,0,1.0,135812,135812,2,4.08,0.0375,0.034999999999999996,36136408,973078528,196083712,0,0,0,249150,67,777989,0.54154223,0.027664742,0.9380511,0.9380511
8082,454,454,0,1.0,135019,135019,2,3.75,0.022556390977443608,0.022556390977443608,65841904,973078528,196083712,0,0,0,249263,86,778613,0.60631967,0.057116367,0.93689317,0.93689317
10083,400,400,0,1.0,119604,119604,2,3.75,0.1934673366834171,0.1884422110552764,78363432,973078528,214958080,0,0,0,249365,104,779162,0.6251744,0.027335683,0.9379629,0.9379629
12091,439,439,0,1.0,129468,129468,2,3.75,0.02238805970149254,0.02238805970149254,67692664,973078528,214958080,0,0,0,249471,123,779765,0.6434152,0.060454823,0.91687465,0.91687465
14092,448,448,0,1.0,132955,132955,2,3.53,0.10025062656641603,0.10025062656641603,57544904,973078528,214958080,0,0,0,249582,142,780380,0.61920893,0.043155763,0.93939143,0.93939143
16092,461,461,0,1.0,138191,138191,2,3.53,0.08040201005025126,0.0778894472361809,47690136,973078528,214958080,0,0,0,249699,160,781016,0.51261705,0.028668495,0.937765,0.937765
18093,458,458,0,1.0,136605,136605,2,3.25,0.135678391959799,0.1306532663316583,36792080,973078528,214958080,0,0,0,249814,179,781646,0.55847067,0.026923379,0.952878,0.952878
20094,451,451,0,1.0,134501,135649,2,3.25,0.14285714285714285,0.14285714285714285,82418176,973078528,214958080,0,0,2,249929,198,782270,0.65632546,0.049767323,0.9227959,0.9227959
22095,455,455,0,1.0,135059,133911,2,3.25,0.0199501246882793,0.022443890274314215,72248056,973078528,214958080,0,0,0,250040,217,782891,0.6276749,0.023927333,0.9453468,0.9453468
24095,444,444,0,1.0,131847,131847,2,2.99,0.022556390977443608,0.017543859649122806,62011424,973078528,214958080,0,0,0,250149,235,783502,0.56554556,0.08275891,0.9280705,0.9280705
26096,458,458,0,1.0,136442,136442,2,2.99,0.08521303258145363,0.08521303258145363,51625648,973078528,214958080,0,0,0,250265,255,784130,0.6328571,0.022430517,0.9346264,0.9346264
28096,446,446,0,1.0,131847,131847,2,2.75,0.029925187032418955,0.032418952618453865,41938048,973078528,214958080,0,0,0,250374,274,784742,0.65685123,0.022476967,0.94050246,0.94050246
30097,365,365,0,1.0,108395,108969,2,2.75,0.48120300751879697,0.47869674185463656,33350672,973078528,214958080,0,0,0,250465,290,785245,0.5833417,0.101575576,0.9143688,0.9143688
32098,351,351,0,1.0,104048,104048,2,2.75,0.531328320802005,0.531328320802005,81492752,973078528,214958080,0,0,0,250551,304,785728,0.5557925,0.1578904,0.89080274,0.89080274
34099,380,380,0,1.0,114357,114357,2,2.61,0.4887780548628429,0.49127182044887785,72513160,973078528,214958080,0,0,0,250650,321,786250,0.49102676,0.03396819,0.90976286,0.90976286
36099,410,410,0,1.0,121679,121679,2,2.61,0.22556390977443608,0.22305764411027568,63618064,973078528,214958080,0,0,0,250751,337,786814,0.61492306,0.026421405,0.9105357,0.9105357
38100,425,425,0,1.0,126915,126915,2,2.48,0.2663316582914573,0.2613065326633166,53958104,973078528,214958080,0,0,0,250858,354,787399,0.44167885,0.05312205,0.90562564,0.90562564
40100,345,344,1,0.9971014492753624,102614,102614,2,2.48,0.355,0.355,79819536,973078528,214958080,0,0,0,250944,369,787873,0.4018055,0.051460624,0.8577037,0.8577037
42101,420,420,0,1.0,124536,124536,2,2.48,0.20750000000000002,0.20750000000000002,70121496,973078528,214958080,0,0,0,251048,387,788449,0.414718,0.10675589,0.90561223,0.90561223
