time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
45,16,16,0,1.0,6104,6104,2,2.41,0.2512156338579955,0.35443504712741686,36745736,973078528,59768832,0,0,0,20264,6,63772,0.056743566,0.22087875,0.98207873,0.98207873
2059,364,363,1,0.9972527472527473,125086,125086,2,2.46,0.4798994974874372,0.4723618090452262,19515848,973078528,59768832,0,0,0,20410,12,64297,0.20631833,0.07839652,0.8893663,0.8893663
4060,412,412,0,1.0,118890,118890,2,2.46,0.3979848866498741,0.3904282115869018,19934480,973078528,59768832,0,0,0,20512,28,64864,0.48298997,0.024312492,0.91479737,0.91479737
6061,395,394,1,0.9974683544303797,113950,113950,2,2.46,0.2788944723618091,0.27386934673366836,10934520,973078528,59768832,0,0,0,20610,44,65407,0.41551915,0.06620431,0.91374207,0.91374207
8061,414,414,0,1.0,119106,119653,2,2.42,0.17794486215538846,0.17543859649122806,32919328,973078528,59768832,0,0,1,20713,62,65977,0.44709212,0.0632684,0.8817688,0.8817688
10062,384,384,0,1.0,110391,109844,2,2.42,0.2581453634085213,0.2556390977443609,24221600,973078528,59768832,0,0,0,20805,77,66505,0.36857447,0.057401348,0.90365845,0.90365845
12070,496,496,0,1.0,147955,147955,2,2.23,0.19201995012468828,0.19201995012468828,10122336,973078528,59768832,0,0,0,20942,104,67192,0.534031,0.19808203,0.88354677,0.88354677
14071,291,291,0,1.0,82383,82383,2,2.23,0.0975,0.0975,33725600,973078528,59768832,0,0,0,21011,180,67588,0.28198317,0.28484783,0.5825913,0.5825913
16071,0,0,0,1.0,0,0,2,2.23,0.0025,0.0025,32489304,973078528,59768832,0,0,0,21011,196,67588,0.0,0.34574753,0.0,0.34574753
18072,28,28,0,1.0,8464,8464,2,2.05,0.0024813895781637717,0.009925558312655087,31902752,973078528,59768832,0,0,0,21019,213,67627,0.023194991,0.34998292,0.098136164,0.34998292
20072,0,0,0,1.0,0,0,2,2.05,0.0024937655860349127,0.004987531172069825,31783328,973078528,59768832,0,0,0,21019,229,67627,0.0,0.34533614,0.0,0.34533614
22073,0,0,0,1.0,0,0,2,1.89,0.0,0.004975124378109453,31737256,973078528,59768832,0,0,0,21019,245,67627,0.0,0.3450934,0.0,0.3450934
24074,0,0,0,1.0,0,0,2,1.89,0.0,0.004975124378109453,31737256,973078528,59768832,0,0,0,21019,261,67627,0.0,0.34486508,0.0,0.34486508
26074,24,24,0,1.0,6938,6938,2,1.89,0.0025,0.0025,31049600,973078528,59768832,0,0,0,21025,278,67660,0.016747696,0.3490553,0.07995464,0.3490553
28075,0,0,0,1.0,0,0,2,1.74,0.0,0.007462686567164179,30941792,973078528,59768832,0,0,0,21025,294,67660,0.0,0.34449705,0.0,0.34449705
30076,55,55,0,1.0,38786,52156,2,1.74,0.04962779156327544,0.057071960297766754,24259472,973078528,59768832,0,0,0,21054,311,67742,0.24565043,0.37674797,0.5852888,0.5852888
32077,226,225,1,0.995575221238938,183090,183090,2,1.6,0.49874686716791977,0.49624060150375937,36405944,973078528,59768832,0,0,0,21159,334,68072,0.05089711,0.37101462,0.76761305,0.76761305
34077,68,68,0,1.0,21506,21506,2,1.6,0.0075,0.0075,30153832,973078528,59768832,0,0,0,21181,361,68168,0.15288511,0.5405869,0.3191253,0.5405869
36078,0,0,0,1.0,0,0,2,1.6,0.0024937655860349127,0.004987531172069825,29652784,973078528,59768832,0,0,0,21181,385,68168,0.049999997,0.5212356,0.0,0.5212356
38078,0,0,0,1.0,0,0,2,1.47,0.0024813895781637717,0.007444168734491315,29485104,973078528,59768832,0,0,0,21181,409,68168,0.05,0.52098024,0.0,0.52098024
40079,2,0,2,0.0,0,0,2,1.47,0.0,0.004987531172069825,29399120,973078528,59768832,0,0,0,21181,433,68168,0.0,0.5207264,0.0,0.5207264
42080,0,0,0,1.0,0,0,2,1.35,0.0,0.007444168734491315,29034328,973078528,59768832,0,0,0,21181,457,68168,0.0,0.52039903,0.0,0.52039903
44080,0,0,0,1.0,0,0,2,1.35,0.0024813895781637717,0.007444168734491315,28667800,973078528,59768832,0,0,0,21181,481,68168,0.0,0.52007794,0.0,0.52007794
46081,16,16,0,1.0,6104,6104,2,1.35,0.0025,0.01,27389624,973078528,59768832,0,0,0,21189,507,68192,0.1795158,0.5956618,0.3117654,0.5956618
48081,87,87,0,1.0,30300,30300,2,1.24,0.014962593516209476,0.0199501246882793,23657504,973078528,59768832,0,0,0,21225,542,68318,0.26190814,0.70020705,0.53286517,0.70020705
50082,9,9,0,1.0,1888,1888,2,1.24,0.0024813895781637717,0.007444168734491315,23208976,973078528,59768832,0,0,0,21225,582,68330,0.0,0.69944316,0.019223308,0.69944316
52082,0,0,0,1.0,0,0,2,1.14,0.0,0.004987531172069825,22470376,973078528,59768832,0,0,0,21225,622,68330,0.0,0.7074695,0.0,0.7074695
54083,0,0,0,1.0,0,0,2,1.14,0.009950248756218905,0.01243781094527363,21869824,973078528,59768832,0,0,0,21225,662,68330,0.0,0.7071803,0.0,0.7071803
56083,52,52,0,1.0,17620,17620,2,1.14,0.004962779156327543,0.01488833746898263,19787872,973078528,59768832,0,0,0,21245,711,68405,0.044089615,0.73836625,0.16626269,0.73836625
58084,19,19,0,1.0,6576,6576,2,1.05,0.00997506234413965,0.012468827930174564,18176792,973078528,59768832,0,0,0,21253,760,68432,0.19999999,0.77150667,0.33874565,0.77150667
60085,9,9,0,1.0,1888,1888,2,1.05,0.0024937655860349127,0.004987531172069825,17758240,973078528,59768832,0,0,0,21253,808,68444,0.0,0.741102,0.026867347,0.741102
62085,102,102,0,1.0,36695,36695,2,0.97,0.022388059701492536,0.02736318407960199,37577688,973078528,59768832,0,0,0,21298,867,68594,0.43710214,0.83089495,0.56194717,0.83089495
64086,62,62,0,1.0,19217,19217,2,0.97,0.004975124378109453,0.009950248756218905,35438704,973078528,59768832,0,0,0,21317,932,68681,0.045106936,0.80266935,0.21774429,0.80266935
66087,0,0,0,1.0,0,0,2,0.97,0.0,0.009900990099009901,34798264,973078528,59768832,0,0,0,21317,996,68681,0.0,0.82503814,0.0,0.82503814
68087,0,0,0,1.0,0,0,2,0.89,0.0,0.007444168734491315,34239336,973078528,59768832,0,0,0,21317,1060,68681,0.0,0.82478386,0.0,0.82478386
70088,50,50,0,1.0,16857,16857,2,0.89,0.007462686567164179,0.01243781094527363,28332672,973078528,59768832,0,0,0,21336,1133,68753,0.04225547,0.8374146,0.16589329,0.8374146
72088,0,0,0,1.0,0,0,2,0.82,0.0,0.007444168734491315,27780200,973078528,59768832,0,0,0,21336,1205,68753,0.0,0.8496873,0.0,0.8496873
74089,24,24,0,1.0,6938,6938,2,0.82,0.0024813895781637717,0.009925558312655087,26366136,973078528,59768832,0,0,0,21342,1278,68786,0.015670944,0.838841,0.07096767,0.838841
76090,0,0,0,1.0,0,0,2,0.82,0.0024813895781637717,0.009925558312655087,25595560,973078528,59768832,0,0,0,21342,1350,68786,0.0,0.84908867,0.0,0.84908867
78090,38,38,0,1.0,12570,12570,2,0.75,0.007462686567164179,0.009950248756218905,21097232,973078528,59768832,0,0,0,21356,1424,68840,0.32463428,0.85908985,0.58122057,0.85908985
80091,66,66,0,1.0,20452,20452,2,0.75,0.0024875621890547263,0.009950248756218905,18607488,973078528,59768832,0,0,0,21376,1502,68933,0.1318293,0.84330684,0.39408123,0.84330684
82091,0,0,0,1.0,0,0,2,0.69,0.0024630541871921183,0.01477832512315271,17902480,973078528,59768832,0,0,0,21376,1582,68933,0.0,0.8664881,0.0,0.8664881
84092,30,30,0,1.0,9227,9227,2,0.69,0.019801980198019802,0.03217821782178218,38786488,973078528,59768832,0,0,0,21385,1663,68975,0.09617677,0.8559635,0.26471254,0.8559635
86093,0,0,0,1.0,0,0,2,0.69,0.0024875621890547263,0.007462686567164179,38105640,973078528,59768832,0,0,0,21385,1743,68975,0.0,0.8658394,0.0,0.8658394
88093,0,0,0,1.0,0,0,2,0.64,0.0,0.007462686567164179,37263056,973078528,59768832,0,0,0,21385,1823,68975,0.0,0.865566,0.0,0.865566
90094,66,66,0,1.0,55716,55716,2,0.64,0.019801980198019802,0.027227722772277228,33300496,973078528,59768832,0,0,0,21418,1909,69071,0.3236817,0.919112,0.63099295,0.919112
92094,365,365,0,1.0,266380,266380,2,0.58,0.14,0.14250000000000002,33751272,973078528,59768832,0,0,0,21584,1998,69605,0.042857617,0.7497128,0.8800721,0.8800721
94095,407,407,0,1.0,314559,314559,2,0.58,0.022556390977443608,0.020050125313283207,15550168,973078528,59768832,0,0,0,21768,2091,70199,0.030525204,0.7400555,0.89590347,0.89590347
96095,10,10,0,1.0,3815,3815,2,0.58,0.0024813895781637717,0.009925558312655087,13928032,973078528,59768832,0,0,0,21773,2179,70214,5.8672646E-7,0.8747071,9.0341276E-4,0.8747071
98096,22,22,0,1.0,6175,6175,2,0.54,0.0024813895781637717,0.009925558312655087,12583080,973078528,59768832,0,0,0,21778,2268,70244,0.027990216,0.86512375,0.12808576,0.86512375
100097,0,0,0,1.0,0,0,2,0.54,0.0,0.007462686567164179,11376376,973078528,59768832,0,0,0,21778,2356,70244,0.0,0.87539244,0.0,0.87539244
102097,0,0,0,1.0,0,0,2,0.49,0.0,0.007444168734491315,10311088,973078528,59768832,0,0,0,21778,2444,70244,0.0,0.87506676,0.0,0.87506676
104098,0,0,0,1.0,0,0,2,0.49,0.0049504950495049506,0.012376237623762377,9378624,973078528,59768832,0,0,0,21778,2532,70244,0.0,0.8748185,0.0,0.8748185
