time,rpcs,successes,failures,successRate,bytesIn,bytesOut,numProcessors,systemLoadAvg,processCPULoad,systemCPULoad,freeMemory,maxMemory,totalMemory,pendingActivities,pendingCompounds,pendingCallbacks,totalActivities,totalCompounds,totalCallbacks,avgActivityLoad,avgCompoundLoad,avgCallbackLoad,avgLoad
82,18,18,0,1.0,6957,6957,2,5.17,0.7143494225712664,0.7403076531025935,74449480,973078528,199229440,0,0,0,254518,27,793491,0.00201996,0.6537259,0.9966799,0.9966799
2098,370,370,0,1.0,133634,133634,2,5.17,0.10473815461346633,0.11471321695760599,59817912,973078528,199229440,0,0,0,254678,30,794034,0.12026814,0.087082155,0.91782594,0.91782594
4099,392,392,0,1.0,122921,122921,2,4.76,0.45591939546599497,0.4483627204030227,49885896,973078528,199229440,0,0,0,254799,42,794583,0.39986223,0.04486536,0.8272169,0.8272169
6100,405,405,0,1.0,118961,118961,2,4.76,0.2656641604010025,0.2631578947368421,41338704,973078528,199229440,0,0,0,254902,59,795141,0.41830397,0.043799706,0.92144066,0.92144066
8101,411,410,1,0.9975669099756691,118414,118414,2,4.76,0.1044776119402985,0.10945273631840796,32966416,973078528,199229440,0,0,0,255000,75,795705,0.36189935,0.03333297,0.9119069,0.9119069
10101,465,465,0,1.0,136543,136543,2,4.37,0.12531328320802004,0.12531328320802004,76024392,973078528,199229440,0,0,0,255119,95,796344,0.6228452,0.019832654,0.8985063,0.8985063
12109,447,447,0,1.0,131730,131730,2,4.37,0.1375,0.1325,66314712,973078528,199229440,0,0,0,255233,112,796962,0.42296076,0.056127667,0.8981302,0.8981302
14109,378,378,0,1.0,116139,116139,2,4.02,0.06265664160401002,0.06265664160401002,54458224,973078528,199229440,0,0,0,255344,188,797487,0.40943584,0.32181808,0.76948863,0.76948863
16110,37,37,0,1.0,10450,10450,2,4.02,0.005,0.005,50901040,973078528,199229440,0,0,0,255352,213,797538,0.026557917,0.4581011,0.1189192,0.4581011
18111,24,24,0,1.0,7008,7008,2,4.02,0.002506265664160401,0.0,50280688,973078528,199229440,0,0,0,255358,238,797571,6.7693595E-4,0.45794457,0.03390064,0.45794457
